T,FC,x1,x2,x3,x4,x5
1,3,2.225478471874091,4.48897950005624,6.610352655083236,4.734255440613202,2.6199189503108142
2,2,5.365495602095538,2.6587345285304194,6.149965414877884,8.401394608293534,4.621356532252461
3,5,4.2935122345519225,8.186636475861707,4.051693822997338,6.539098100754033,4.508000343266185
4,14,7.876361904554459,10.131140108411934,7.070535601576481,4.419790378521766,6.4188792936274375
5,13,3.1609157316502343,5.305375060429031,6.584305017237449,6.404974579676651,6.014225533481535
6,1,7.104893859350534,4.19860670237699,6.541515666127909,5.1155896969174295,3.3226443632830103
7,8,5.437269927777516,3.467845378117289,8.199522285378151,3.545449337185616,3.2562709432655375
8,7,3.9377103388764336,4.464531254422634,4.133883039657671,7.42861514136361,5.447708400442508
9,7,3.596230795972499,3.166915310818018,3.325399641906733,5.188939291193496,3.096491889966412
10,6,6.22975479198438,7.837717776294891,2.4861212372653134,2.0625063811934004,3.2784327123145247
11,3,6.624619584882212,7.334733720078983,3.1015681978216607,6.594527172467073,4.573302007500562
12,1,6.256577711794533,4.042045421811012,5.781532152936951,6.8695513112414055,7.603439578116766
13,2,7.8813759089142374,5.14372268510868,7.302118370647878,3.4925554598497204,5.400579559242077
14,4,5.076360915715778,5.615332553308734,7.021996316938387,3.939755665218139,9.34672510131473
15,5,5.0781526012094345,3.0251643126104337,7.475062901626171,7.499716622614625,7.779768951653295
16,2,4.22405904960933,7.485974642653979,4.940195346785133,7.729251526571812,2.149780676148793
17,1,8.496671757288366,5.453010537698786,6.880895707372763,4.208569791927338,4.671957305743178
18,2,3.8977616345325976,9.250532597557754,3.934805145490601,6.2412905643522425,4.144613850435288
19,1,6.021129497924438,4.028313240455931,8.054637274521884,9.274152904971967,3.0262116555607537
20,0,8.20277837482448,9.370971300041656,2.3955250124290144,8.159826858063667,8.385032776468723
