T,FC,x1,x2,x3,x4,x5,x6
1,3,9.209681446719152,6.363184442161803,7.490127525175288,5.415150325187071,4.615220435665183,8.927935449461112
2,3,4.737350847841619,7.231469102905607,4.270526096660069,8.778818816989398,5.091208977645114,10.708965755290416
3,3,6.07885727177332,6.14939378393917,12.12716770382437,5.142723037027357,9.086657827730162,4.44747179153384
4,4,4.416607748119679,5.183817286494592,6.2584639220504625,6.156301906958372,3.7396197027691653,2.14908022448606
5,9,6.7536631094589765,2.6916267581211932,3.481726858599568,3.5877789534122244,7.761707081580971,5.504390338443213
6,5,5.570612102217315,7.629889824991676,2.021407068369275,4.9042222978269265,3.0772376125965106,8.284625363156982
7,7,6.594838272844495,5.4245857434933225,5.1728163319425216,3.0289729725994667,6.5254256225720235,4.253137793812267
8,4,3.6837530881248557,6.550907767979735,3.17958657661911,4.806902426424735,3.2151073592907036,5.210161448340799
9,3,5.203298474782173,5.058261807093872,3.7423719607284656,4.561630991371549,6.6744613044041685,3.978134420561404
10,2,8.188779156597176,3.1245687880158344,4.591874196652224,8.395604617813154,7.361369943964247,6.817247341947686
11,3,7.1935005657273745,4.1072415692243895,4.2966047928004105,7.211349455518333,7.201815499869174,5.353979353749672
12,8,3.6148924565312863,5.081011362566183,6.349336704561235,6.341974477574496,7.154702311168546,7.405527920631114
13,2,2.5677176836579765,3.541757554914802,3.3378240961134393,5.014871346768911,7.331190614981345,2.105395543414792
14,1,4.660719497353135,4.130809646327396,3.1957431359052793,3.0754321418297415,2.2429622463214947,7.111107870493186
15,4,7.024313210147171,3.5058595420006626,8.494677087376154,9.148202068153983,6.125858167230817,5.432422473075172
16,6,8.227541149955947,4.567305277650341,3.3643034091112014,7.031009857644776,6.094055816259511,5.1132241820551245
17,3,3.040641628673595,6.86275038136959,6.63756587472621,5.075161971821759,4.211629128024559,6.264644866319506
18,3,2.940733619133114,6.146040589952638,5.086897374125673,3.960186145896856,6.004669269835545,4.286746746183569
19,4,2.109234722844578,4.2312358363613365,7.29957524767309,5.667689219786736,4.566219442206532,6.013132790925879
20,2,5.230326613675342,4.208526721232378,7.446196925686533,3.5297860148396554,2.268257850690762,2.7518209149792803
