T,FC,x1,x2,x3,x4,x5,x6,x7
1,2,5.293260888852638,3.2841678229843714,2.552548102334803,4.180408307596798,7.267089739394878,7.090538727534396,4.4919932765313355
2,3,3.021606962783369,4.095276403510393,2.0057814073875795,7.259219488366474,8.122338797849004,3.5197077155780456,3.9072342678512526
3,8,5.040763169957579,2.795118548475548,5.085028910704897,5.762530640187089,2.074445432408907,7.608498393710723,3.6888370313150602
4,2,6.3410652553758915,6.111099283160851,8.192555474335126,3.392511496194682,4.90142893859119,4.67188631595783,5.2490074987667175
5,5,4.175174541059604,7.9271430604682305,2.7430386022005084,4.069629563678189,3.1654327146403123,6.028406037076327,6.282487710322735
6,4,3.059106688881466,4.097196579905722,2.401023273778639,2.620988150932277,4.8857415912121045,4.586221994128867,6.450960560858506
7,8,7.2250510352244905,4.368977289871407,5.511435129670165,5.212814805143782,5.1116020027524165,7.861235318575192,5.01780610648605
8,5,4.336203547903909,5.343859478877436,6.689374212695281,7.182498380753254,4.3299497777538765,2.6873528110241427,6.306298069448964
9,4,7.503766867012258,2.5630928938055226,6.81627042793345,5.379585605988024,8.990875996207683,2.216610789643103,3.1448044218266284
10,6,2.611585200721085,7.309850817479745,7.474342342669151,4.935162690433003,7.80232438199394,7.729344956424466,4.727245108420749
11,0,7.1868156842642446,5.000587751909124,4.54594133142742,8.6607549634528,5.281589279209642,2.2738991493103944,7.617357247026794
12,1,2.9222140664072014,3.280802310188973,8.59361910365587,5.847295131504905,6.062369679463106,7.409896271029311,7.190191784700741
13,3,7.343771163374082,6.02942595518844,3.433460965411994,5.601403286062242,7.466387775487019,8.583685544015909,7.4414280815034175
14,2,4.820881734469524,4.722237441128963,6.4898010604002305,9.394011136781323,8.137259603294462,7.658582324543626,6.31514941329578
15,4,5.254556751939668,6.561331939640415,4.547270434900559,3.624199681296288,9.140344689815329,6.341247054601818,5.1006652848832585
16,1,6.855577477068911,7.143177411898615,7.299083709769462,6.280826066537127,8.735639447633915,8.624995898864192,6.501371960828202
17,1,6.525203418612691,8.094834729695545,7.104092986220498,5.295037628561314,6.804948445369507,7.773997585220394,9.87113518852798
18,1,6.039034523572454,7.344499589822846,8.87937843173566,5.633864792337633,5.297388100007361,3.4371255690300844,2.281617569876915
19,0,2.491521043159991,2.7768680566028783,4.424153637678882,6.015271880069496,6.852837160832959,4.395106926374736,2.0802936383848776
20,0,3.467031269504806,3.7184406337601117,2.3223974078494036,9.771325353996442,6.464402349051765,10.239093459953851,8.66559631883639
