T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,12,5.4346398592378256,10.089952630600305,7.4110662180645654,9.588768059225064,7.225247774377291,5.869885486134867,4.507169253035443,3.2915101751376525,10.037907086134204
2,2,4.7012509984227675,8.66261929822563,4.096919343918619,2.237227920451936,2.05766450373507,5.776027721983596,2.8146119738449107,2.4099228683570364,7.856700292531575
3,6,5.3764637749597455,4.738795653096583,2.4265121689618576,5.365515590269122,7.876669277525687,9.693996584974922,4.645443015428372,3.2278812623141966,5.182820554719847
4,13,3.019413643774885,6.349551987620386,6.139308879937116,7.09969783216946,2.4719094973781273,7.563625843568654,5.506164069721278,6.168345735727232,3.0024717781006727
5,10,2.0107085126530353,4.4206711830684,6.00088347596071,7.2424906087000345,6.656211718231141,5.3217987447869675,5.825981234778915,4.359799979148647,7.164325033922133
6,8,6.658867554816432,5.39902002006489,6.77604494987917,6.007505121375391,3.4888788012287018,7.309034994398139,7.113871793230637,3.2551447377729006,3.2276907645149286
7,11,5.683412061864779,2.306737753843292,3.588293581191802,6.935913190107329,6.16593288484519,7.242538421422554,8.17408896560343,5.005103937984168,2.001430185820146
8,10,7.246240093260712,3.212887302570313,3.228707517310865,5.165718599176468,4.507474281936515,5.300057193046689,6.598401940040962,5.321275976676636,3.4170478576294148
9,5,4.666595834417411,4.391839209695703,5.178900878212516,2.749438456615307,9.33827997947716,7.3838582836643045,6.721208870886933,6.771620837668397,7.270924713975271
10,2,5.423522163839546,3.332349564646729,3.345017765349779,4.81846364963412,4.134408555543469,7.4253117990932545,4.287574170080154,4.4792819814298515,5.467460144953536
11,1,3.049291708334689,3.298462792496413,5.0882841048782845,5.2980692806377085,7.3921160161623805,7.820909138711386,9.338377782590005,2.3650076486315976,7.066521504107631
12,1,4.197457907196096,7.4601814237243556,2.018228935611169,7.943028556034476,7.8017529328642246,5.503698748685227,5.065440817247463,5.317039591949611,5.6101668744765085
13,2,5.333671404520939,8.025195728419147,7.163618337003251,7.18201142109307,7.276740586849575,6.007499672966228,9.41149075541845,6.308545790921343,4.541661542244903
14,3,6.167700676312779,4.193529970138495,3.399159326250574,2.8392840057127344,7.0959959090978035,8.30639915533272,5.048508077851866,2.521053684876403,5.552113642515017
15,1,7.255603289057796,8.75285207172297,7.248706001373743,2.14129447125059,3.6552597392870325,7.912721416347685,3.2181218234780933,3.071457944034514,7.158213719093202
16,0,5.185749897933424,4.356725427892538,4.5928353778521585,3.690604763393651,3.028826030898506,6.0030319558740475,7.594924242581401,5.270601371099812,3.0394523724677867
17,0,7.418396963247153,2.734789983887422,6.705954372370587,3.0375889290620823,3.0845399195435816,8.598815778799528,5.157576737656761,9.359862444952354,2.650254662026878
18,1,7.04457266998636,3.103164214114358,4.152110058853849,5.111118735418011,5.565488593420424,3.076913400338358,4.95791946006388,4.235234757964983,7.071998241927724
19,1,5.210435877227936,2.9965544607950445,2.0416262768225435,2.050496763339093,3.6395368346939088,2.3350083044322982,3.5341242107509676,6.577688917886865,6.265868700834026
20,0,3.1718304795175714,5.1029922279489295,4.393671561847222,7.293378888507146,4.1228002990532175,4.509172091640413,3.319081537126384,5.231649199878505,8.099346390613855
