T,FC,x1,x2
1,1,7.150223203208961,4.479231019389687
2,0,5.66238037445758,2.8055851786621475
3,1,7.8748456902246655,9.18653420700834
4,3,3.598082177179955,6.285992106832379
5,2,7.014425080510072,3.0363535687564944
6,0,4.071662715039498,4.687278628833778
7,2,2.6004091143157737,7.4920756376813795
8,2,5.724936771376258,10.257928217445855
9,2,7.173039330407968,8.96747935581673
10,0,5.858488303718472,2.72578099420288
11,2,4.439186599032898,5.9643392080044295
12,1,4.2597162456503845,6.349906788784621
13,0,4.539418322730904,3.23451590804099
14,1,7.469724536913077,4.284382858149333
15,0,4.477222548810102,3.932489622947242
16,1,3.843569035435415,3.390369673877795
17,1,6.969904313036689,4.799875021441999
18,1,5.668174871737497,4.309009944005749
19,0,6.676350861562521,3.003969238119049
20,0,3.407410395500433,3.3814736429899046
