T,FC,x1,x2,x3
1,4,8.426498020170037,4.220109531407795,7.084050387310695
2,4,5.577973456352108,8.723657752595043,3.342350215500441
3,3,8.929511834308983,4.538936727693256,6.154216989578169
4,9,7.327177637775153,6.704697864148854,5.190878426652617
5,2,7.759959604074006,4.355156760420246,11.780032049565383
6,3,8.801949896928074,4.142500318230092,6.488947491151914
7,9,7.599145896329947,4.4272965250639595,3.364968283636954
8,4,5.141572375833839,6.412807353370525,5.810717190526048
9,5,7.907917766066029,5.777403392484619,2.112356728737486
10,2,8.261185221979408,7.753645410969602,4.3106777326609835
11,5,2.1918455843032056,6.032526592862758,3.4334802263730064
12,7,7.354379287708495,5.15983927795512,3.6451694227411724
13,5,3.910311494986361,3.20949433601032,8.135444692970992
14,2,3.2032977726604708,4.570681189936656,7.070016896657433
15,4,3.5020627012404866,6.371407740135522,5.965014151645652
16,2,8.248906034835379,5.317518883441846,5.618519548808985
17,2,3.4137292991666057,6.116905073716284,6.592298971128762
18,3,8.575829901282468,3.7064876295807583,2.513903104838374
19,1,5.294946549153412,4.309800153640713,3.588559310062444
20,1,8.338108465258907,4.622391784563058,7.124524414466535
