T,FC,x1,x2,x3,x4
1,1,6.510982669241269,2.3994097507646805,4.554264094273252,8.386588340321076
2,1,8.871414943077728,5.1502639097338605,3.6684091002467434,6.131378942303433
3,2,8.180579748508217,4.001038448374707,8.630659649795765,5.172421524657481
4,3,8.373212461845227,2.02052825413184,8.118422109592528,6.451043287111606
5,3,7.224070548008168,8.17553236663758,7.095950636044748,3.688995707495948
6,3,3.9435160366916313,6.128300087542693,4.560097988856288,5.350364377107216
7,2,5.813234635297263,3.134248371902246,4.325594168505912,7.66341502652712
8,6,7.057576226503487,4.633439340287855,2.204766976191223,3.2630483933931838
9,4,2.5446041282434946,5.913345928203858,3.349918186616722,6.194020107208143
10,2,4.22733556553004,6.992648979576038,4.611527766321301,5.259568678471052
11,2,3.1692195965128733,2.784868537225979,4.062017157022793,3.238204055096719
12,0,2.0876765019127164,4.79749861930832,7.037967626123383,8.090945056439436
13,1,5.831927632883524,7.654448538556556,4.063191627149941,5.941640058685526
14,3,2.324259484733759,6.162408276876739,5.57906781176721,2.7219461056684167
15,4,7.083902584885899,2.162433166989116,7.313266210585196,3.1758387309988634
16,3,2.438041788495255,6.634834572660599,7.242845439645351,3.3369208178328393
17,1,5.863872930757835,3.730071899056438,4.4836095153356,5.659505859661493
18,3,8.126733802937014,3.012361796913432,2.8196226602289176,7.364337917370158
19,2,7.552706493326971,7.851312678944468,6.143766453461355,4.495998088934148
20,5,7.378250233050605,10.233224752218948,7.529409145940848,6.051911003659735
