T,FC,x1,x2,x3,x4,x5
1,3,2.8105274234494635,5.47882554623424,8.878345876110666,5.610615324360877,5.953850174368742
2,5,7.107999328586558,6.135522385858648,2.1018910656842458,6.011213128585351,3.8543986193980126
3,5,4.935273938340329,6.327865219596731,7.854956504652104,8.267665236369787,7.695277586840934
4,7,3.56368826127716,3.8684416995312936,6.5794396679921405,7.125674108672322,4.9083792646311215
5,5,4.150376787757454,9.090554134897884,4.9434761469980835,4.95840954341972,4.9747522199729834
6,4,6.304154591984635,8.686606244621059,6.0521927950923216,4.5502966868545744,3.3795735270889615
7,5,6.64656563948672,5.643993522947019,7.537080481411898,5.57035123537886,5.259611696909414
8,5,7.046675365141262,6.4142952857085485,6.094964250624466,5.624166488452365,5.571026632025568
9,3,2.423376184853135,9.250202118481793,3.32062690655009,5.037614027369506,6.448176377267054
10,3,3.1023381259751477,7.245104438202378,5.672260809511169,3.220113248352774,4.3811761322996885
11,2,7.141843371851699,4.122925738835203,7.30024199974005,8.92103192852049,5.3480307645440135
12,2,3.4771893578188853,11.235104891086486,2.9116831087598913,5.011560486552276,2.900246315847077
13,3,6.341228562382373,6.482445699162998,6.6747208995373635,5.7727616937171105,6.610642857204678
14,1,3.5050412781252023,5.878194711987212,4.616398851137702,5.764750974344112,3.235969863878706
15,3,3.1993737110213285,7.81628625489309,6.3075194647784345,3.4853195540598616,9.17915009890793
16,2,8.119285845463494,5.076998530868271,6.000966743866838,7.550017807643947,2.5124074001507255
17,1,6.935237426679196,5.140909113286825,5.584396374624126,3.718585158945404,2.760946380026234
18,3,5.0769165207479485,6.427918983966379,6.148837387877152,7.112203218356013,6.514610686740486
19,0,6.155190808235779,7.746109560488759,5.0579150254643155,8.662487936629137,3.2505517902840184
20,2,7.2172604629405095,4.412641989839638,2.1279424501381694,5.185522891189015,5.938007877433565
