T,FC,x1,x2,x3,x4,x5,x6
1,2,5.414207053732021,4.318731936891363,8.381919738947012,6.668099076956824,6.655721172042093,3.332249723556819
2,3,3.1367059809841185,5.702084606286022,6.257425350916343,6.483604362949788,7.122954835333525,3.4057961948989313
3,4,3.1972031753725525,3.1377017549694144,6.348373709826161,2.3451378701828784,7.045900230378616,6.20914969128658
4,7,8.011610080868467,6.687712555356429,6.139932426553843,2.2017171014989456,7.3185133073533315,6.306195419446961
5,6,3.343630545040187,7.11664603993216,4.217121076158799,3.080125699203379,4.86875561193705,8.116483667593124
6,2,3.8957807250040855,4.724894892747754,5.478173594170889,5.785141109185234,4.144179547042979,9.102854858972819
7,4,4.434346007610323,5.674305107089641,8.543767606360662,3.5431327546975004,3.1210517807516536,3.035611638623804
8,3,5.855251671020081,6.835134299893998,8.012631010245878,3.897491888677166,6.085889913724045,2.506147748668407
9,4,3.1344428979837637,7.505546341344584,2.0554392732504865,2.769170040621691,9.168263124144573,7.368208971381028
10,2,3.2762395124647723,4.598533300430319,3.1117630392372098,5.41508792972125,7.776475823032177,5.01718494479642
11,4,3.60952379265032,6.945638999456266,6.122287267223861,3.6787290127989447,8.993574021754204,8.07876319563574
12,4,3.704891667629752,5.3590151606743035,5.105916792181734,7.727140474378682,9.403943898573672,3.0679295547544685
13,5,2.1775832580974335,7.7472932288445815,2.1291494592438807,5.241286296822048,5.958482253165984,8.67091522061977
14,1,5.016191795699395,7.370588812951182,6.063822069465823,15.439724518170852,9.224026554617572,2.9422885642566268
15,3,6.150736425247252,6.089151211985168,7.264927949325175,6.955058946784805,4.467375212825544,4.115405084086451
16,2,5.465650945475226,9.561665572624529,4.654727393464782,7.161775529876387,3.5643653644527,5.832165170485706
17,4,7.2819210032072395,11.276676173045875,4.005336069112841,7.392134227545043,2.6592529560410205,7.019747062152854
18,2,4.739727955940735,6.448380073024649,2.5237399928539945,7.011566031655316,5.207366793177056,4.238704174966893
19,1,3.114032478492474,3.3897654497338707,6.161650333955515,6.083972898891808,8.425195089381802,7.8257759133222375
20,0,7.588743804817448,7.611179828216742,6.444629435065741,3.702621729446525,3.7288324286323506,5.629680316752079
