T,FC,x1,x2,x3,x4,x5,x6,x7
1,2,5.171976014057839,2.110839443606691,5.3937215783402666,9.06732659718077,3.06369608628114,2.194389196132009,3.538816460211528
2,2,2.7908816251952424,4.17611991111806,6.910235885213706,2.922554181442696,5.257009897013806,8.621529377978653,8.159866539400195
3,9,4.5964232762795865,6.158688249975178,6.067986930911841,8.269760083768048,6.778059212258843,6.987377734009211,4.065227448534563
4,4,8.072404610388261,3.107649802149135,4.641618094144265,4.128469302045957,7.68433120567642,4.0401345559823,6.4860379005519135
5,9,6.056836306105017,5.207099695897076,7.531147307353609,4.046871194654837,6.6471543224910965,3.8828972717308736,3.09623120687551
6,9,7.63636090055672,4.615615068559695,8.564093535735015,6.3882358651158135,6.4666344879548205,6.171227226964554,4.548101232534162
7,2,6.206066609054412,7.0643875065411965,3.23426682076545,4.393390106453378,3.1577092874122363,3.586341889525591,5.654785774902335
8,5,7.142187933013114,6.5284514511441385,4.298235406514075,4.871323894881154,5.28360834936926,2.2974030460811576,2.1634582942591414
9,10,6.111158885542938,5.6970198393763045,7.047525108161953,6.646112849669343,6.058687972135771,6.538326500187097,5.675760165817216
10,1,6.058140122613733,3.41996215634837,4.956837558255899,4.3737442120594086,2.382167253403837,6.058144579948916,6.306114978906937
11,6,7.203012925903592,6.634240744106715,7.464893227550599,7.957378295822124,6.078235624059705,6.124175728619336,5.070982845726597
12,5,6.2644989261848325,7.253656210654614,3.0726247072595867,3.232898416179826,8.377497707864231,3.0388844201318306,4.928410486245082
13,2,3.36674317935318,5.0048254784852455,9.65346606287609,6.760277088284296,4.282277963393159,2.1249522713233344,5.94602954217555
14,1,4.418754326823965,5.116959643750214,6.891599606134221,6.300471373154017,4.2112953913779805,7.261069342360121,2.6755604013260585
15,1,7.5137556345396135,3.1523281409560235,5.026952008981656,5.376333301841051,3.543378795133002,6.083559726174348,7.761117821560417
16,1,7.246215966063023,7.501559174858639,6.119926310910072,8.164293672385648,7.513606390446158,4.468336683696222,6.036866669556105
17,0,4.571251294644371,3.2715748824533644,3.08932136804874,3.8798786139698027,4.566809611575248,3.512399318130131,5.0638268984340415
18,3,5.406516579370813,3.0074226959541246,3.2353827324439255,7.048842142921468,6.193622460731319,5.036516389194883,3.7559079615852267
19,2,4.728719628730312,2.036767538252884,9.325964284493146,7.252767751043125,7.229609514740244,7.814414680253937,5.210049100664634
20,1,5.516552009562688,6.0140445418370385,2.7488113374693937,5.004746581152516,4.3307998891395565,7.907730874628545,9.169652026886201
