T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,3,7.151382077597738,6.815940615527264,3.6197040443667525,7.411504768721847,7.095074326625805,6.828067585894887,7.413561772641376,3.8652649829674037,5.347100507573981
2,8,2.8149355606312003,5.9769560733678695,7.140720192950028,6.1458583034358085,6.374077008817676,6.031590796489722,8.662599449360043,9.007949084282883,2.9852834883092054
3,9,6.4529873341253,7.24859671514856,5.8197887938266675,2.5503347840384643,7.406621502324894,2.4495986452355734,4.55243406586389,4.681684803820484,3.8857897990784096
4,3,5.061919083457034,4.5160668605437415,6.530615751470138,3.302817839157232,5.568487793960508,5.972281567552096,2.8059258883758504,4.009877821322244,2.198294580865439
5,5,6.0958650153591485,4.825837082553637,5.520770290881689,4.359919580530922,3.0222666543379617,5.553497823638175,8.850313128809974,3.1162426132805807,7.391181636113875
6,6,6.7085177776865885,3.730969343001316,3.411048804054178,2.0946708294829737,5.98139691972932,3.8891407064346613,5.4822977698166255,4.821159295455892,7.348032538787558
7,6,8.039901401109622,5.136769196496441,2.4315706541406517,4.916913688735986,3.6713338387596712,7.9235169745659295,6.749919255274877,5.601654147952546,5.355408993844289
8,6,7.462889628715367,3.933119604029428,3.588475674009226,5.441387220221322,3.3604159241031053,3.0615914449139114,4.023336123779066,4.985333801941147,4.044514410749143
9,2,4.146941316447141,8.263670017130728,5.182458670867053,9.099273422309198,5.472674968952789,5.011104718759997,2.374181934804405,4.235247385747215,5.322627376695911
10,2,6.170479597014856,2.35605583297932,7.799220018975543,6.519533477088965,4.007963651062874,4.4092496315349905,8.795152404433857,3.2501670148991293,4.7084675358135355
11,3,3.543174456262582,7.060633425880192,2.0071930409551166,2.3924678913992685,7.286108390627771,4.196102209578351,4.214358128847144,3.2352425126161357,5.606609858681803
12,2,7.438897620304405,2.995891251450659,4.6863365571459985,6.1570950461223655,7.645058841985259,9.059679390730619,3.0594473386306325,5.509477462205884,4.872984658645661
13,2,4.725555311373515,3.671697538552476,4.649917867376104,4.631765508281597,4.498011124154354,5.015303440754637,6.357009235707268,9.399708205554548,5.147006212599015
14,3,6.606918509252792,4.309437875677154,5.591448167072013,8.293214203499707,3.6967124259382462,3.4285894091919653,6.1627223619101645,5.724783113983629,5.656744798804458
15,2,5.3046071102507115,4.391861900344336,8.211124061987316,4.746816900282564,5.2477679295431585,4.356336938483211,6.241967413670058,6.327504290483664,6.207401321034329
16,0,2.0909413518268383,2.0904339197622677,3.2417359281158866,3.276349545772067,5.677791581733668,6.24945692089758,3.234022667308726,7.366532694184604,5.8872513447783845
17,0,8.976601766511454,2.68825816298947,5.997003307847203,8.312810271175973,4.169312975124131,4.620112721245835,6.041741993034707,3.5374215931898805,3.1390525469261075
18,0,7.313070061489549,8.926867316200134,5.899055613219286,2.2678577228856343,3.672207621764329,6.253453639622998,3.559232381081697,7.581335778447827,7.30207518070054
19,0,4.113938545653351,9.448439532262201,6.5194224442610995,7.990593913863471,3.5879820077110884,4.7343644859082055,6.332425103086389,7.843744394680941,5.236161597477185
20,0,7.543952174542413,5.17306964289274,2.1331331330609977,2.5704892551906635,7.014061616061399,6.9506112240582,3.246187431720413,4.596746906189502,7.090789311009345
