T,FC,x1,x2,x3
1,3,6.24787281918005,6.502913939298569,4.395457224751992
2,1,7.348811728000488,4.820550020261926,5.232947724183698
3,2,2.184438699012816,6.0249118821933205,6.699182851996448
4,5,5.591869966100963,7.016262290889093,7.907544271686375
5,3,5.1573959309015756,5.799717539838602,2.0076478643462328
6,0,6.390383078669974,2.713262287503085,6.404459083657944
7,2,7.049424008315408,6.371507341192373,6.50110280580153
8,1,7.162874789436545,4.964698296795367,3.52659903880477
9,4,7.230386714562988,2.6243131828155515,7.449781657991433
10,4,7.2722553664002385,4.04603319627537,8.780781587436927
11,2,3.2792296170052433,7.0941822975473,5.164969946806452
12,2,6.833522043320388,4.591084023179303,3.4201328092229737
13,3,6.347738564488616,2.6374516871392766,8.020482817233642
14,2,5.451984874054464,2.3473003199177294,7.10923284744095
15,2,7.228745219561462,6.050227866221595,3.4037559810137714
16,1,8.19889023445638,9.116057078070465,7.406259326871653
17,7,5.1605503815983225,8.656000012823013,5.855637681319379
18,2,4.492477122556191,7.013439114322295,7.540750798395843
19,3,4.232220606253429,5.443987751094425,6.169203285464351
20,3,6.129103730053122,7.259978969803087,4.129502869696157
