T,FC,x1,x2,x3,x4
1,7,8.519519632540934,7.08047861004252,8.086963449644916,4.658162886135366
2,0,6.631082066172914,7.3860321552424155,6.6360952235164,2.8544022631628687
3,2,6.174015768840983,7.930815820496403,4.222107681556703,3.8380699500189364
4,2,3.3080430705948265,2.745043171612222,4.365768986447456,5.713417453214606
5,6,2.7650508319571583,2.6705943167527515,8.030576450374298,7.520609419102689
6,2,4.671376733219996,5.418932753874098,4.01980839980386,7.192034438884857
7,1,6.147255502750389,7.369744955025895,4.097439002301202,6.764382208418413
8,1,6.211624273390677,10.215626874432147,4.130865298908665,2.1447085688113146
9,3,7.361606774720796,3.8817553560944225,3.2127114908497245,5.10102050401458
10,3,4.435985966656215,2.2838311527649546,7.460408576430383,4.904328386684541
11,4,2.355071393537611,7.152965809596697,3.257474687957779,8.486749782182423
12,4,5.368333113073363,7.138516694706759,7.239709438787096,6.584385888438458
13,3,6.981754789087432,2.239403348873545,3.6358285416552745,5.2013390092003196
14,2,3.5179577307334795,3.0592626841870283,6.878363070788121,2.0387208711821
15,6,5.571154822092508,5.698728156417853,5.174058383164644,7.136223264435071
16,1,3.747623875966589,6.756451181449436,7.088830352648518,3.520176257095151
17,4,5.778953685107748,5.22690844370342,6.831309072914815,5.645766790856884
18,0,8.603263444324657,7.100377501333616,5.32629745624512,5.020199287202574
19,2,2.579940070312851,3.067876751605251,2.169535336257124,7.335242916822671
20,1,5.159965211838527,3.72372919843374,2.313987421172309,6.710237674049978
