T,FC,x1,x2,x3,x4,x5,x6
1,1,7.184426417969813,3.3523401750423822,3.0791901023136883,2.3520048039302575,6.945664228918476,7.2605351678604
2,2,4.298553435639101,3.374336794799435,2.4896177954967498,2.637317651350829,8.3834760858342,4.106101967379536
3,2,4.2125051149315755,4.443900995186543,5.063598109671407,6.076693106452511,6.1366854738642465,5.8208200181058345
4,5,5.548291268332281,6.122001739195618,5.320528428541526,4.589322736669811,10.039344192604647,2.9609102532310185
5,1,2.8308014882340453,6.225127503616911,10.053939316841651,2.1371540283306136,5.28475077950923,3.510357152806435
6,2,4.125969989473281,5.379053395694263,4.9015823230001185,2.3947121111380802,6.861770217387067,3.158991083504309
7,3,9.605545343941897,5.281353597509025,6.986912983582702,5.671212678915763,5.051622776296911,2.5862019057140975
8,4,4.4014165424849345,4.720285070882119,2.6103699439559764,2.5597370626259996,12.636398740408488,2.1421952097498758
9,1,6.20888012018121,6.656469139564424,9.236782619224401,7.0953334467711535,3.70080842636879,4.0342685046129425
10,3,7.24457588433386,4.157724617180364,5.856285154997737,6.31894256796193,2.055012670703522,3.1184263620572685
11,0,6.879799821662871,5.337896827845728,3.4330026906312456,5.915474958303019,4.840199230099477,5.28658698315046
12,2,3.270316133448646,6.076154626593024,8.647006378839865,2.1702550689865263,5.573119482931999,7.3985957366497965
13,2,3.6117526723327638,5.31368538669371,2.0805530151698512,7.129239420316745,6.691056762504306,3.2842734344090347
14,2,7.770590716856091,7.270289461748362,8.147425855459879,3.4392624733653294,4.697198963061336,4.582320169815687
15,1,3.298105938475644,3.2663000208656685,7.594322062783239,3.1426263339980123,3.2347512112555554,7.292097314105174
16,2,3.3025415589871723,2.3406729898575724,7.45007076181638,8.148835633249211,3.0755217811668203,6.5996829587383665
17,2,7.376572062955571,6.000450066507829,3.0524836058922644,6.016302289327363,3.057629991501224,3.047762308018781
18,0,8.588165301261801,2.658649708679845,4.481987138125592,5.913640494182906,6.8666182594238,6.844552782492412
19,2,5.191457307065571,3.633714047510675,9.107348522801287,5.80101594968186,5.186938330954468,6.112941777765124
20,1,7.550423968204416,3.199563638351656,6.150366833696848,2.843859082731561,2.2429709186939593,8.179411769399367
