T,FC,x1,x2,x3,x4,x5,x6,x7
1,4,3.7161677279704013,3.319900759287338,3.957464248381918,6.628450476822867,9.008894583734342,4.7562963201351085,8.3001053692606
2,2,10.580913196664609,5.1559583263948605,4.178018822612311,5.271160428401191,6.04043336060768,2.53956624049642,4.783055014367729
3,3,3.7785036792883684,4.462541624450746,2.134810655429445,7.144077898811424,2.5964358021648986,6.747173968607388,5.047445408909602
4,5,7.020678824826015,6.3785136397412785,3.286140663983809,7.428222503394111,8.461741604822606,7.755666303551839,3.1056954867201423
5,4,6.054157341759376,6.079109439615714,5.303845591461834,5.160773245233862,7.643779873801417,6.419696480610039,2.5974062587120197
6,8,4.05511717324835,7.290574447112586,7.419945798735002,8.080514258660399,5.045106396854849,5.362662371136458,4.0292899786912235
7,3,3.9059942987596363,2.651648751311245,6.384188360305583,3.7179121893219764,8.077342544173591,7.516637076711699,6.1011475510212545
8,3,8.709481260461914,4.707690676501549,7.0177469959541625,10.282886048001714,8.219291279248752,2.5369548364859313,6.831451930445456
9,5,5.395797936517191,8.172200103276632,4.328437362555358,6.95680830921569,7.538903806675416,2.4440195013727033,6.167729357842408
10,3,4.5716855536159535,2.220810129490218,4.843072891701578,5.404237261190066,4.261464365027371,5.806054260552093,5.206115748570241
11,0,4.032020909898397,4.842886097119404,9.62718138885273,2.7766905727440654,4.538858973785096,4.036789977800024,4.88359305265453
12,4,2.9838507741425393,12.490067558565308,7.392192412915543,4.249071519623146,5.095855239776464,7.3936193207150644,4.084227484273678
13,3,8.93943042339879,2.481113920659335,6.829838837308428,5.0861621764402045,5.396602757396737,3.862118751788988,6.295842605359443
14,4,4.931487915235093,5.2863056150579,2.7363187040646717,5.015876178072907,5.00364070102815,6.070233083332935,5.927587402662253
15,2,8.94404742785199,7.396624854999849,6.333354783369176,5.007350785753744,5.023076611867634,3.891493942572754,7.78939453403798
16,3,6.562458783855076,2.3681975322232303,7.749741953763117,6.348248061497998,3.9114904664484795,8.645820481157385,7.234112482257358
17,1,10.290744325017233,4.415653457499302,5.3543107592005255,3.4348748462535608,4.041403055923218,9.159088455838576,6.88786319751536
18,2,5.2038843836799815,7.991590630634958,4.906956118990975,4.005150564186778,7.646321705083761,7.035169069823058,3.760336332930826
19,1,4.451861473892481,7.338694557629821,5.148619181595125,8.355295164900975,2.8271077658276305,5.363966858029057,2.0762544151864875
20,1,7.328901973872815,7.017785457475626,7.035250946250785,7.87232385950586,3.4922838112674093,4.511968752939211,4.3928654924609605
