T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,12,3.525553169886166,8.02285420868296,4.19410580013704,6.941156621853796,7.077429795189161,6.174787780590821,4.350979580886492,4.6672660986242995
2,11,7.082816953688398,5.852291051695232,4.877561758019832,6.5684515782051385,4.11877214133264,11.332222761767197,4.061930041282881,5.2972142904553685
3,6,6.050286316913834,3.300078220646432,4.227490137631302,7.996721733523818,3.1199975107904714,9.566820467594635,3.934621794918117,3.58696374320135
4,2,6.245376588693487,3.5702145538866485,5.401282750428274,2.1814481407038784,8.080232372283511,4.290002589732288,2.98867889019885,5.549501246022107
5,7,6.1027738822406725,6.433173442428977,3.0011755411001544,4.613707299397698,12.586696977179006,4.270388680106897,5.581728136584971,4.891787326492245
6,2,7.349422676013443,7.46025323062236,4.191149619149184,2.0952394449228784,4.83111061848305,3.021261662256254,6.712181397586791,7.3307426497175
7,3,4.260084044648609,4.759889288740461,4.95514254943289,4.664439939056543,2.3068389653342742,6.734360165564111,6.444175727942572,6.6540303653051875
8,2,5.448460920706891,3.836959406108228,2.0621093679246902,7.177376079603164,4.204208228676549,2.175505985026373,5.386267972080569,6.368518611415051
9,5,5.88224162593747,4.890008850576751,3.521065863763715,7.056072103279157,6.659064714046504,6.645529704795066,5.119868724404573,8.852658415190689
10,3,5.597962860902378,7.375701981601939,6.463437520353805,4.177469505976487,5.543220051729383,7.17083167058705,4.1362032447483426,5.055720236609879
11,3,6.198806030817529,8.524374049318029,3.260378258964443,3.218124887180925,4.1946603168087595,7.754406415268113,4.375147168245402,7.773415906936195
12,7,5.016735384627756,7.13025586710923,7.302731464500332,7.631522202383772,7.418489602393357,8.695209448183821,2.9753318736773227,4.637664833020928
13,3,5.058621554805396,7.641878816099085,3.258032165635397,4.56704013042622,4.797413305153669,4.37882797197059,7.248908490493364,2.4620358714875383
14,3,6.427874424577625,3.1094401792518807,4.091850663335604,7.189683633821493,2.0291653796275404,7.109235421513989,7.899991967472472,2.3089135643017547
15,2,4.00016805437131,3.3768601515002103,7.763151185302356,5.794471526952389,6.084466143298144,3.1282158766528565,7.6880367337962,3.6180656510402622
16,1,5.633289164365533,3.9062143108189784,6.332167309571826,3.0536265987607694,6.308444590268363,5.249327483242468,5.7760833158366935,5.388251319829724
17,1,3.5774470551848556,6.667067302771699,7.624152967310922,5.248325840922722,5.632364696077275,5.657475999417606,3.4647064320810426,6.069949028002374
18,1,7.2090001595489905,5.740976754033063,3.820120842006456,5.698302932513644,4.158938830797176,4.294145081570812,4.375372673659326,8.858395801034156
19,2,7.90138294418346,6.694943982961629,4.2178524622788895,5.6135783831418316,6.361387431810383,6.560719317838179,2.2697598825406766,5.027867380751975
20,4,5.92948824524367,5.828427102124548,6.419805876884107,3.1575221013079764,8.131702086473865,6.30333854162838,6.49489457719769,6.337337903863757
