T,FC,x1,x2,x3,x4,x5
1,4,7.529499674183721,2.6288808392570995,3.7841598963800527,3.6702949972923276,5.725004883110234
2,3,6.494531677402376,8.146053850630897,7.3693195774589535,7.0774125939823405,2.776676274557496
3,3,4.3127940028410405,3.1397192623374535,5.44028950315694,4.666858315934844,3.128634969719948
4,6,6.836493657489183,7.9092141346761355,2.238873960397123,4.961351543568979,7.767337349047251
5,1,3.1916828473628405,4.143918426199115,8.05412135072971,7.646376329549057,4.386427288554071
6,3,4.879916933593411,3.158197173331663,2.810040536934363,6.290912285480723,7.292371643427483
7,6,5.268224563409136,3.490499700831826,6.853601086037051,7.035517710876483,3.067203151062814
8,2,7.330549044901129,3.8933676194716353,4.757143448416879,2.588365086524713,7.268066394797372
9,3,6.167016657308997,7.060698879525251,5.095917582704281,5.305068397056603,3.6185023474175932
10,1,7.280238022084154,8.315375327305542,6.011493377672506,2.293254040353926,5.170734865195397
11,7,5.081043219754955,7.182980768937493,2.053204442955941,8.80371820740677,2.0747181330918965
12,2,6.170705078382397,7.484859305775721,7.3332937002584,2.086147912381371,6.693762214145674
13,1,2.251608414947413,7.070229899107448,5.190318871385226,2.120756572209536,2.1672079072874886
14,3,9.182432173493865,2.229992094422766,5.664965840784935,4.5202396064654895,7.05095909609311
15,4,5.517072887257512,7.127853507996475,5.207900744003078,6.048222667792553,5.355258973488909
16,1,4.114540867052026,5.729509588936447,5.355151553133849,3.402686171390739,2.5558963100774212
17,1,6.446414299964649,7.093582771687331,2.81225814362363,5.122235270063532,3.9390815943612267
18,0,5.433602209182574,5.622504931532516,7.233829277796066,6.932427282173478,3.0651957772674665
19,2,2.649383065950455,6.384476326822851,5.647470102803864,2.290687386185661,6.314983862338925
20,3,6.752682294436652,8.413403645213092,6.921868137057154,6.318711621867746,5.51673689842497
