T,FC,x1,x2,x3,x4,x5,x6
1,4,7.395999851084012,3.0734125512027974,7.911000686758276,8.251479281692985,8.311779672645313,3.7920473581973266
2,5,4.587047990714632,3.1841923188212538,2.5338680268262044,5.203218676724799,3.021783700793397,5.367010048903317
3,5,7.541050402169553,5.562552482268052,3.030376196457825,7.036250955732793,4.358400129479695,5.2600468718984885
4,5,5.342358040420385,3.7323371240966265,5.487231834782506,6.598236930984041,6.398583366290259,7.406583750404321
5,2,6.329154778979832,6.7472451163887035,6.726041451483778,2.161623932107309,2.6064533628543947,6.613349352377632
6,2,6.653097227064335,5.095733567909185,3.5324108467780455,6.050959781517845,5.097587215356416,5.854116630531291
7,3,2.955075044936385,4.259010352952556,5.051256059008008,9.009018119101778,4.51830720673292,5.062660045309486
8,3,6.380966420385542,4.513618784421334,3.256236756416114,3.4937293949841064,7.090568083124986,4.4097330643363275
9,2,7.165496808157817,6.846176605528112,2.0854597170114517,2.624783091540059,2.1345875331012567,3.0583434541761667
10,4,2.6092869655779083,3.0355601658161833,8.596735279693707,7.260810073578261,3.0479050704798296,5.212679795098418
11,2,6.140597918620198,4.205380340999274,3.5784932690149756,7.326170954461382,6.512051265069662,5.208480174257514
12,5,6.503094356284017,5.4425333966512985,6.868056204033638,4.98610254770178,8.52515743602223,4.82412900263893
13,2,2.640915622851764,4.239035788567226,6.702975024315885,5.2319918760595385,6.583370338791735,8.661605472741808
14,4,3.478844194750518,6.937444505282251,8.098133626334706,4.864802970233109,6.595259818933345,2.260226235745958
15,2,3.896417018806825,3.5071695816217874,9.344632708677894,4.003154831897215,6.774363944164146,5.533412055084837
16,2,6.588378274485085,3.4669812841757808,8.210722084175169,5.560835038126676,3.5995039339452357,4.256261603435347
17,4,5.258628559792032,3.352192419974327,3.4161441624209075,3.9531619270773533,5.956875598121139,6.792638094920724
18,2,5.413048162218904,7.3552180901106095,5.1208280676419,3.0179838060985626,2.3373432500960787,5.869662394156772
19,4,8.062207645207042,9.107979917617905,3.8850145651809544,6.512255080067907,7.413798285660876,4.223894781435002
20,2,2.3616221110974487,6.003926505613678,3.783970558543387,3.0398243116997,6.538830948847577,3.373227427603754
