T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,4.46231829738138,4.8357904331909065,4.831719968891782,3.318448358847002,7.251460233727969,5.096234531235177,2.1735230254990845,5.616591029468406,4.656970954257788,4.251847731498758
2,6,2.768002861732612,6.5399776016292215,6.470115564971319,6.28884521270526,3.8439356809965997,6.773543306964868,2.316383297480592,7.090050854654692,6.554752339130943,7.057215018491376
3,9,7.864424993231163,4.611381496190948,4.18400663221632,6.524128827644943,7.092847822316142,2.1451257282277707,5.843899091498848,3.647311739991212,9.539739225590123,7.667054077127189
4,3,2.058711969578685,3.1573225954237274,6.1132480761259815,4.036520908660165,3.838667264203558,2.2378190457929366,2.430712324934204,7.696799607025684,3.845116336197184,5.904319686336127
5,4,7.122323998099015,9.11849267034853,2.941461161363538,5.763569692010177,7.709218511593674,5.871057155594567,4.047847732356297,5.626629983441651,4.137258646100842,4.438239101505958
6,7,4.155781493523235,2.281582661737546,5.097034671193775,6.223319981277995,3.6580108917483694,9.119843143184305,3.7614493448154187,6.028626733590164,3.2478898887091647,7.58041452753857
7,8,5.096785346234844,8.708925318725699,7.4811106947417505,5.390498789190249,7.02795833612929,4.505549910771419,6.059981945081546,4.421607270422156,8.865206468803091,4.148003365686888
8,4,7.259399211587974,10.544755928424808,4.318166958437336,7.238530334872366,2.900835908051861,4.187292925328842,3.267033671729686,3.271443142042777,5.935299503067598,8.710994116182095
9,3,4.5689306628458555,12.961095868154725,2.0098335250693395,5.848637590087715,7.00875198491752,5.5564505149259995,2.8477025573663117,5.99289378283931,2.316766599239261,4.019691546319122
10,6,4.284054023738784,5.451393973683524,5.4750997257730925,4.43915849851877,4.1178202327904305,7.142119669847639,4.570319619907662,2.169870019446857,4.05333913036553,2.7876815155504797
11,7,5.459219458009462,3.14048934025363,4.5446764812623,3.2449606328126004,4.261358375533504,4.014427593640355,3.2589240612597594,7.995020129507259,3.1564629008643914,2.5329482679352973
12,2,5.347706000623657,3.124099692038187,8.52615095716647,4.9100243140616,2.2347558812828883,7.502004333064651,2.816196981322777,4.225589134502824,4.017221201523423,3.815151260809464
13,0,4.552801180502666,2.4731264771256662,4.963584517508033,5.294856260858846,2.933320492187863,3.259784686048725,5.343942687911202,9.812693095349642,4.086090286386448,5.513897626318119
14,0,2.3722666842812514,3.583712571854985,5.4551634866903065,6.210035277541307,4.18108318565825,4.710769455040762,3.3172813888872223,3.8188820022368946,4.379480997179996,6.456854139035861
15,2,7.55075553138831,3.4525576981258537,2.0914410212110472,7.020235237974716,6.044543771396496,4.012439478390242,3.405591543509505,7.104428439510419,2.0837578822702203,4.484556361276023
16,2,7.487374273004486,3.527661360211626,7.596098081699183,5.2603526958946425,6.383384328298451,4.492577637382126,10.075350341512275,3.47590914436218,2.4234798983121024,4.925517289305995
17,2,9.125951785040382,6.434103376594136,6.346598000564832,6.362106969853852,7.576100057121957,6.003222010187768,5.027143658507166,4.644649913293081,4.867240165233087,7.481935587609431
18,1,5.573178712584587,7.407309832135497,2.3573539333033304,3.5829856952714354,7.7977881534622995,5.382103593541146,3.591901009176821,7.265490676163901,5.025345119544377,3.0496533777565586
19,0,7.528836901853083,5.734936282787705,5.591352314238597,2.640699919012892,3.6454380625340495,6.153552032651587,4.491588557285788,4.13695212724213,5.122920198664612,4.600753282858689
20,1,7.625429370853727,5.189664219625595,5.059234497748388,4.813935154193786,5.993693140769354,2.524128887230717,6.640461619957255,2.794424134819714,6.702351818244533,7.552716053866333
