T,FC,x1,x2,x3,x4
1,2,3.662732159394535,7.364192904089497,6.6672302249183675,2.1052833256448085
2,8,4.083095848017012,8.3036214047078,5.631727861630303,5.172865671786217
3,11,5.088785339862463,3.103279933173754,3.19842531910467,2.5205736285543097
4,10,7.538186389606167,6.275674869846677,5.6770429677914755,7.511855900759694
5,11,3.4380405654609243,4.100475106855037,8.685767595206194,6.433092935138461
6,7,7.05137348541852,4.445023920358491,9.115092047168424,7.053017327759196
7,10,3.0195032250024467,4.289851823525803,3.2011409182470176,6.88764676069999
8,12,5.204408161583036,2.001671903572689,3.2997349053001184,5.640218540991738
9,5,7.017221194671343,6.179633300240836,7.11496329618668,5.825674131580561
10,3,4.451117835959882,4.057045870690966,8.49050884378445,3.0813094170404276
11,2,3.4669574752780807,4.310607222745372,4.52343794551138,4.164913342081573
12,1,4.442566045554573,4.807307614881082,4.146817664260704,5.104547833045326
13,4,6.214763591875365,5.394720336138004,5.86432209949198,7.172293759469973
14,0,4.386559231264357,9.381884629087452,5.704475637895897,3.041673227081717
15,1,5.484707414901585,2.1678675997099,2.466703148882744,6.435592870227756
16,3,4.022236207495301,7.841576080459522,7.635825105108828,8.90691757244874
17,0,7.74024136694371,7.105742306459968,4.570912300762011,5.5334044568377205
18,2,6.423143617178427,9.324119771796312,6.027154588351362,6.3798975552368455
19,0,6.241965646140484,7.694804555892307,5.120545312099769,8.546475119286495
20,0,3.4345816795374486,4.228166220672755,6.021281706865299,4.781736871049758
