T,FC,x1,x2,x3
1,3,3.2197436598932043,2.580188028564219,5.516283575300237
2,76,7.470328463417749,6.852783005683183,7.034752147294017
3,29,9.095850204540696,7.2157015828751785,8.179606084106135
4,5,8.02111871100504,6.471825582152687,2.8995464255941767
5,1,2.4328944876161787,8.762117514513713,2.1148160967227447
6,1,8.150089101864795,3.5499952053799153,3.0859550173338457
7,0,7.5899034107505265,7.829151190282819,4.327485076281445
8,0,5.5634739860640545,6.746149108347825,4.465459667351441
9,0,3.0902154647101585,3.7924534092391,4.8298882781717865
10,0,7.255962943103098,3.767386602133543,4.995479904808337
11,0,6.803995083768401,9.257013520047323,4.728624975670925
12,0,6.079389558777685,3.1408944183231835,7.4146583631844605
13,0,10.13339118480169,6.346510727087464,3.963008520502557
14,0,2.765017636190511,7.78976689278173,6.80316859808992
15,0,2.5944523462622886,2.3050353920652533,4.338525137328503
16,0,5.8654756108585016,5.139332812229665,2.2892877788523633
17,0,4.77235083006615,7.320168489407947,4.2439604348424576
18,0,6.041018449950096,7.612994143707373,2.8751232276674576
19,0,6.274547513892444,7.316814033182895,8.347406399818942
20,0,7.833809572690818,2.5539365492984367,3.485761775360283
