T,FC,x1,x2,x3,x4,x5
1,0,4.816438148541046,7.080260784389424,6.4758241049573915,5.63677989899633,4.057034473167647
2,0,2.868694092843189,7.693539086740292,4.108405302784656,6.081521409241152,4.317398174481029
3,1,2.9365663166699996,4.824864278625963,4.3645630625844705,3.2958972506993702,7.101590693542923
4,0,2.09376370522058,3.108510336568844,2.0820097985021553,3.2953782501398763,7.727332978514546
5,2,7.034145827518097,5.495083972914909,6.718668579763719,6.426548330551203,3.7768635560198196
6,2,7.049771315706193,3.0227816223999935,4.004791479990795,5.804622038821086,7.788581457068707
7,2,5.8293556464936405,7.521787746026271,2.813701519593992,6.025500192174131,8.594039790909981
8,2,7.092804746460996,6.883136989825927,6.1381735937342485,9.374455665086288,8.48786193121763
9,1,5.119032649647644,8.39744703590194,6.035564124567444,5.266836030204138,6.274719669462647
10,3,6.0879391698453365,3.8614538667189966,4.826626189934814,4.163209837840809,3.3638352401068943
11,1,6.551356765756221,4.641892549373832,7.020486551778875,3.1242258731968167,4.0949886980861585
12,6,5.075260085391687,8.122116725802375,7.169828249510428,3.633181634367848,7.167730682512557
13,3,5.549233225356535,3.1848810222407553,2.380933769761662,6.896035220873229,3.254225158395532
14,1,3.776721675245239,3.0017028841704296,2.059021444797367,3.2983703605100296,3.6245540903568982
15,1,4.759357771207372,6.834563726599753,4.503633315780726,5.260982209632315,7.940079933087663
16,2,3.719321461566418,5.113992372115616,4.00792250978531,7.231332181214221,4.5320974179158995
17,4,5.4532988217797,8.542245909000917,8.032864880098142,2.2588454660116857,2.40621446859009
18,4,5.072349408999438,4.14001220973676,3.4905452474317844,4.439005189234411,4.222910330908361
19,2,6.043746863460022,4.020094822281563,7.609998995553653,6.843854232016861,6.506701023921428
20,3,6.461350266550094,2.1147180760046784,7.373724161887088,4.512481197461698,6.38171143598411
