T,FC,x1,x2
1,1,4.466736969306911,4.767448366070995
2,1,5.130423516312318,5.134439698146117
3,3,7.2040451026555425,3.3975414936393893
4,5,6.9246927501063915,4.1454427136464576
5,2,4.046904792205226,4.086088458496628
6,2,4.823034508998306,2.1775793136397983
7,1,8.224230285237464,8.335905342190344
8,5,7.085895566433475,4.639946974463516
9,4,5.424955131848568,4.266273012818732
10,0,4.97322461754036,4.494360547990941
11,4,2.0751860444296093,6.08666299399807
12,2,8.923318404991864,9.772214740739672
13,4,2.1421281048161784,8.250512433657146
14,6,6.051223019884405,2.7121202645376576
15,5,7.185659173271063,7.440399439320944
16,1,2.910673700587585,4.793625025103758
17,5,7.105799756484641,9.122016515554913
18,4,4.724464398900274,2.407164236510629
19,1,5.533684127999656,7.801160558546431
20,2,6.322501409144294,7.634795511096965
