T,FC,x1,x2,x3
1,1,6.83821857744847,6.046673197334876,7.1452729582170225
2,1,4.543706426306117,7.01318211397587,6.619851136290946
3,1,8.50964984272941,7.924224662923384,4.7552682854867765
4,6,8.654173182513333,5.255138387625609,3.544328098055254
5,4,6.219091555440988,4.066947478084567,6.973405149995228
6,8,6.274118203568427,8.626270714626184,5.89163716009199
7,4,2.5156373072969123,5.03347196763267,7.680264440494411
8,5,7.9983840219697875,7.786824640401054,7.620047947397339
9,5,7.327684971995104,2.1450881078280037,4.861169004489264
10,4,4.748555712594984,4.235055845210389,6.541616186908498
11,7,5.085257729097996,8.142809204523186,7.066944513548576
12,5,6.144862851801887,6.000410159670917,7.780508108127131
13,2,4.3310263855723985,9.825810303129437,4.032240590641922
14,2,6.240916482832574,5.1493364741913625,5.83938689517087
15,1,5.089415623369602,4.714454901708496,2.4814979841180795
16,5,5.0072855186745775,6.449149573620517,7.748345597730645
17,1,5.047201954174972,4.662839747964487,2.0674867105840025
18,0,5.595919586915802,2.5736987878446116,4.742746727122487
19,3,5.501982298135879,4.6683572316892,4.223720343061382
20,1,4.071820488628763,7.214543212726237,4.717320978506102
