T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,3,7.022743476391071,2.744482085815414,7.146368859458138,2.6848829915364685,5.300400013449034,5.080191202286283,8.014033126615411,5.07672702132452
2,6,7.1182852372378935,3.731473176114007,3.4019494913077093,7.975726828457619,2.7783152922715035,9.969332584397144,9.763756484908585,9.681366526552745
3,6,5.893098602945971,5.040836137052296,3.356713699151262,7.675159291255496,6.112523620561535,6.816024787563525,6.8329908663019525,4.426843813789074
4,4,4.126355343784834,5.911555848874526,3.3718863481401335,4.030475303529582,5.441436417087736,5.48066556588588,6.697762082455366,5.614685694442934
5,2,4.533067161974816,4.357918078852002,4.149589878506195,7.0367737166119495,7.0551608773875945,7.590984644876444,4.138454750180603,6.740425647526159
6,2,6.573701600378429,9.50884838347415,7.095043462740506,5.036410812548225,3.0847506583427653,5.218851528000922,3.070530315535855,6.723450442976497
7,3,6.256459694705874,2.973015230642249,9.43274671944904,5.036853906626863,5.064587472138497,7.369407109629741,2.7260755607518137,6.526366782676905
8,7,12.35740421954543,10.004517170169272,7.404536524713171,8.848062960119067,2.712281853628725,4.757300204130995,4.250527491937319,6.340596110401265
9,3,3.0982799927103883,3.009121632399308,3.797171894989157,6.00570881874409,4.863313744510226,2.381338911492371,6.143534550131347,6.662467675990068
10,1,4.186598289187873,8.182326526470062,4.916011073119021,5.179178752855375,5.325865514358261,5.145867518748806,7.418305352588932,5.362279552085187
11,3,2.966740756309738,4.519997105356131,4.620249774400677,4.5294240232436325,5.815684369695783,2.078803203953914,8.97350220072156,3.2751742466053804
12,4,4.159192387094246,7.006133908733965,7.963794624762928,5.353733848064875,5.157855830998788,3.296463474835778,6.541382642132512,7.826555852377492
13,2,7.893130749974205,3.1465043888347397,6.418705085859246,2.1163181068087624,4.540388102696673,6.767115457137333,2.5110166976014847,8.899483727526153
14,4,8.128770520189256,10.902224146641705,6.103861125322744,6.304671898639486,3.0407350505656416,5.417733588568242,6.030017277275386,7.540337109993392
15,4,4.7302241165468075,10.103067122611753,7.7303138567674035,5.622903986600173,7.819925816155825,3.991446883869741,6.146590765773963,8.079093421511399
16,1,3.1937043550604582,2.9075641404700057,7.078936005079183,2.215561029080507,5.885643798755635,5.082264932343943,3.030923834449348,5.651867752334619
17,3,8.022841678643164,5.193262410168375,6.227666380384596,5.005802667979157,5.801288258813045,4.512104177916008,6.181725439265605,7.031667068972881
18,1,3.2925869117479305,5.095170416507436,4.522070349467004,4.079873350752515,7.18833908841718,5.272441038435935,9.655951854319962,3.5100204690000836
19,0,5.937604669267535,6.927451833225209,7.161443436303447,7.181232124940576,4.854532748540455,7.271888309487976,4.3796421154981156,3.1790548844761823
20,0,2.414800796012597,7.973085238127929,5.220344201337108,5.197243213922945,6.961831939163407,7.066691291309195,2.27199591499809,6.531416461602655
