T,FC,x1,x2,x3
1,1,5.032261773818899,8.879167817143289,5.672973430694665
2,0,3.5387554808428954,6.660820763803017,7.081666800965573
3,3,6.270404779297966,5.801795060978832,2.5194391145224064
4,4,5.065088441916755,5.173541368918214,5.142871069661427
5,2,3.6437744891457124,7.615156498300031,3.7030077008969604
6,7,7.210248806284232,7.829075589922943,6.3010125405597
7,3,2.590285133310531,3.714562538235234,2.739795189578601
8,2,5.353963308170687,4.652716808112224,7.442626716966177
9,3,4.146767367016581,4.500877111654753,4.325687355501603
10,4,5.330647386897955,4.412801787461188,3.8919547983793676
11,4,8.049180222965704,6.055862085717238,2.2842206620713146
12,1,8.544641301977489,3.06719896007558,5.124406759966565
13,3,4.1524523253263705,6.325575920076735,6.064458397195463
14,4,3.1625165381910194,3.8996831287279266,8.310823879368794
15,2,7.757216545559755,3.2548036015035597,4.031681048210513
16,2,5.4090543365783565,9.534250108543336,6.482701675105569
17,6,5.529569246940836,7.988784574113991,7.136047653067666
18,3,5.535906429842201,2.98035256407589,6.458906186636474
19,0,12.595853032557667,6.1275461148910235,7.5704936411508825
20,3,6.191187984956434,4.051701216381955,7.169759919612361
