T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,2,5.737729713130932,6.068173605532946,7.548004123277657,6.089588530698236,8.097796954668283,9.034986441248263,8.52911483753843,4.163146062323635
2,1,4.311743596224282,3.794704974930248,6.642687026122473,3.812904313148576,6.461068879292149,5.782559657282731,4.717659006492144,3.42664464357297
3,3,4.4068241257708936,4.3170038619304565,5.482225746966746,6.702876176755721,8.31623146768492,9.395432918583426,8.879536867795863,4.812296447465842
4,6,4.306804392453364,3.972017188160301,7.694125877707261,7.066874730851298,6.4655740617354285,11.012876945768621,7.087921247408714,7.698942442552648
5,7,5.706723785459148,8.972695909784814,8.592631202159563,2.0227254741530083,11.376014880547281,5.0615559633969065,4.108683613747307,9.417428259467005
6,5,7.369050336423641,5.277843219548348,4.5296271456114185,2.0792256887501934,4.556356584053609,3.969576782445219,5.508309352793558,5.527987639174141
7,4,5.163735720872736,5.451972000654092,7.4324099737838685,4.332636097432718,7.927904198152621,5.855320280922488,4.174428212909427,7.809304063230042
8,5,3.314758314503818,6.974020475119252,8.034271305337235,7.609136566790065,7.390098341280991,6.24528231502291,3.563877245914161,5.5246630087900055
9,3,6.1293026207311305,2.0817384481987773,4.751015209861498,3.91331384011062,4.530668695438919,5.421836413156823,8.382261733257108,3.5027795888495965
10,4,2.2205237287753476,3.5771006352092583,2.7588869965337706,7.185657782742815,8.284692305511891,5.5576003547760715,2.0084991680996875,7.3470093414711295
11,2,3.9489475579427493,4.003520763867874,9.917268891165858,7.929669336794229,3.9839429681050547,7.055401224875531,4.1892015800709865,2.1974181084527555
12,2,5.593840780122715,2.2578513599854464,3.8678132014902675,4.644453721996987,6.05081473547767,4.729191776602788,7.539635616483585,2.697326986150131
13,4,3.0205563082261437,7.384565506434657,4.405679813248544,7.038955492842394,6.302510595134334,7.259471749398574,5.728465090603241,6.0310816691231
14,1,3.071373323374121,3.3669462154148486,4.2680314923641385,7.461405607175854,2.5335109981367476,6.048370093046869,6.818121686173036,8.557291958841638
15,3,3.521567870636912,6.298222649118045,5.8644513947920816,5.303807017737091,3.6888360441765817,7.859651146714893,5.596978995114531,2.3598957900803734
16,2,5.273791756689677,8.183556010881084,7.190498520295667,6.47466921856306,9.075651908960447,4.476542718596933,4.039775577061983,8.880093401124553
17,6,6.164323010047989,4.127736189580476,5.16798064908031,3.3385757181143023,3.3426784439228574,8.121813621214566,5.2351819129235455,2.069509245573591
18,3,5.128670862174188,4.618988326757865,7.484589147896625,3.4027742781672483,5.11835250478619,4.089929653371755,7.088814865429225,7.103055905025603
19,2,2.109888010878262,2.6607097874908723,6.08168190094216,5.24545449562432,4.5459688915202685,6.320293937787579,2.5499524372231646,7.628671462432868
20,1,4.340987975902864,6.167028927458679,5.456677631613256,6.050255873582941,2.0057117025772713,3.127140219922844,5.38102904822749,3.3474864723311057
