T,FC,x1,x2,x3,x4,x5,x6
1,2,4.07801416963279,3.1565216729646473,2.992839635876009,7.919328723259199,3.599962722939706,5.303512199621491
2,2,2.741728057116778,2.0089428350136416,6.533524923377042,7.87085355390992,6.809961477415559,2.1221029812064547
3,1,5.316814398227597,4.01275929377367,7.668252820842532,4.071927590294733,2.2278501737538634,3.020811889361211
4,3,7.150128538486818,3.5353453964495807,7.4951070720331385,6.269558683227146,2.4314371297942503,3.219927163725815
5,6,7.754152838308249,5.102686178968369,8.271272870219216,7.5412867777063655,3.772273440517612,5.398466068759951
6,3,6.0349233427430855,4.252291966127287,7.182761101754201,5.08467605252616,3.5338832035674703,6.093964053538291
7,2,4.3378912916840076,3.254244027122232,4.102240092509398,2.015516539655214,3.6015160881184936,2.3529059802921224
8,2,5.160331106954941,12.136590354947895,5.143821632032334,2.267308641050353,5.353716853432487,3.923972781063192
9,5,6.085773990224649,5.241153901873485,4.6751271310933,7.697510614667449,5.513891433580305,4.886289127021671
10,6,5.642660388066773,4.608990039809281,4.839596323297693,6.217410769752359,6.271899762141866,3.544299029111434
11,4,8.227132861439577,7.220983418241481,7.498023888801141,5.7006585742175035,3.460237670755861,6.538293638283854
12,7,6.092052125890952,7.138932503822397,8.101708941375168,9.598221825815772,2.3307349958343364,8.092157488340138
13,0,2.8663684634316464,5.186764837023999,7.626962007269667,7.81655393170946,6.317366213291247,6.050368282221748
14,2,4.702405822940194,2.6535325020721725,6.037196675418998,4.892417968185898,2.279675071687484,2.6668692638181164
15,3,3.373878389181657,4.581840370610169,2.476163739471126,7.512848023237134,4.539839448307582,7.114483615571957
16,0,2.6149180862189945,2.342669445334298,8.471083485073,3.080752565306673,7.760242745824197,3.155241728342867
17,1,3.3746609624174617,4.016285380565119,5.850099093611175,5.967240242324496,5.453338500383202,3.3353644450631297
18,2,5.571073680329325,4.3969773705614,6.250237846789763,8.012952884198059,7.004786648404966,5.0883329385569125
19,1,9.179944079544624,5.849722280813306,5.739499144411145,5.429823564722259,5.761146958024868,6.283899653406346
20,2,7.09018371551868,4.982148490661865,6.581755407361438,7.086799525865949,4.443883561665504,2.3553519369475593
