T,FC,x1,x2,x3,x4
1,3,8.21094427414872,7.675829922846124,3.4430152881683527,3.0579930712946295
2,5,3.0638027871390934,5.802774949774717,7.956878467271048,2.1047982462334835
3,3,3.192279653827447,4.683668955501921,3.259937629862216,7.544897842378195
4,1,5.021992674164024,6.422899845351966,3.1991164324149572,5.983739189828119
5,3,3.41312902656443,5.060256954134001,7.292764401753564,5.637094877861053
6,5,6.672631578315646,5.798964261104834,6.20953342984607,8.473751725851438
7,0,6.283399706108842,6.344439301013407,5.373820346369821,2.2732778221107113
8,5,4.3026294009061266,8.14238998294719,7.103493894924676,5.6875534845834395
9,1,4.686185886605405,4.518094277229416,5.127723320790203,3.322418302414307
10,4,14.420955649540401,4.634763307153183,5.709699657781795,5.002998262814355
11,2,3.48242451523712,2.046082550469084,6.408105766706202,4.0023918686330155
12,1,3.4567859269394248,7.048559572853817,10.41452680508464,2.091053244842032
13,3,6.495458568595405,3.052907164586814,7.522403640122125,4.1402122229117175
14,2,3.0286955036818743,5.7900404129294785,8.167834440191754,3.2067871957844796
15,3,4.266210959362208,3.302184211065115,6.251458790928053,7.001205876905677
16,3,5.1498654820372725,3.466673017912059,4.122764291064404,5.917630577009355
17,1,6.476807560853661,3.2260481864420534,4.600975837397616,7.021780459094616
18,2,6.093963464232934,7.012593595604365,7.838203556447463,9.15051307531168
19,1,8.064602878968834,4.012122484244221,8.86126524742117,5.086691893885302
20,2,5.8019113756044,7.766729423246187,6.36944250841549,6.36208814489791
