T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,4.233755844402816,4.667210502499909,7.803918139006935,7.214990587564172,4.356858161161565,4.2723310411858515,5.2599740309467675
2,4,7.0401943463225205,6.979984970665114,2.530137444836642,4.670725553921336,5.096768464851319,7.5604300552524375,7.185070385527998
3,4,3.7076357771965798,3.3722998138730236,2.303498723085787,8.776784554592489,7.283242639627607,3.7435462952882106,5.271378263830023
4,3,3.0173622162276446,4.977273919766258,6.774051201869512,6.584440786065723,2.548607374004698,4.220683857612592,5.229596267887511
5,8,5.41986223064447,4.40911988903042,2.1921471202184035,5.300754592060161,7.383337270085431,2.01922307521308,4.028667803206595
6,20,7.276066795716506,4.959497868548017,7.048304628489452,6.08805922086132,7.8306812018760255,2.2841842431256207,5.305011833513608
7,9,5.591735894275346,7.854414454753132,10.07995357677163,4.39133461977034,2.6353107984396096,5.223816807374622,6.673665311783877
8,17,7.817544747652419,4.078562467592761,7.184707087712594,6.232190941349969,5.416202763883246,4.277092798575527,6.285601729125837
9,10,5.202997993838709,5.764258157977923,7.175275506877158,9.473076723475575,11.456358602943634,2.5845491187183436,7.8441711997741805
10,7,6.148319711170136,8.880545481881219,7.852882127040905,4.8843557528690145,7.182795798228598,7.507148618293576,6.008360536379353
11,5,3.247403877775985,7.095981854846598,9.143860791159687,5.5972538546229735,6.191314442940877,3.323883338702483,6.121941008892687
12,6,7.549476357943205,8.177123642960307,2.973637802101855,4.474042349970487,2.263355844320639,4.524138353437291,9.038981383093825
13,4,8.10836034884712,5.014080110716044,3.201016836498029,6.076808273783071,6.963993753142298,7.3859866711094275,3.3790869444146616
14,5,6.627122375984193,6.572824574330503,7.503387258312799,6.427796798788693,5.375467894300582,4.307619664013702,4.199240604716608
15,0,6.836032290056604,6.221570210461186,7.338168046472317,3.1284135691194015,7.596641249309732,2.6356798695612165,3.264569021801977
16,1,5.170870603747555,2.9980049992805915,4.691944834447458,3.4434457592842005,3.8444779761597614,7.935695204791413,2.6406587955399927
17,2,6.058866527048118,5.0279037066270185,2.5116853645333608,7.282792284259639,4.199761760344997,4.580493423828189,8.407908425751579
18,1,9.100745994327834,7.699531402858189,3.1545139597413665,5.4987647772426875,7.149348346621419,5.112889092580725,7.799919295282
19,0,2.1878505585654673,9.144102001191431,5.5972851771005265,3.9614695707822887,7.427839767738846,6.161300475181735,3.433149227922324
20,0,4.0118294064878866,4.380297890914196,4.1708117167455105,3.6081822489777564,3.015274473389508,3.4740521297083946,5.229766551535642
