T,FC,x1,x2,x3,x4,x5,x6
1,11,5.665430318767461,3.50273923264119,9.069741355369944,7.0679503872706535,2.8247111988187497,4.275205629668074
2,3,3.002604534454716,2.2155529739771547,7.741608032467324,8.058640412875338,6.38359891940532,4.066762411131721
3,10,6.2903948537614705,7.176424843051725,5.924824353519947,2.7635997352491772,2.5751741643534363,5.788541410308178
4,6,5.244748053863658,5.576029879056012,4.19673057128161,2.23388873771225,7.428356342665001,7.716834711402437
5,7,7.48984134561421,5.545943828658605,4.478079969013251,3.835392530446769,6.215176087810612,3.4052823583720615
6,2,4.259123970331262,7.477359213923981,3.499782352938437,8.007378873144372,3.513042761911165,7.175370983357723
7,6,6.407837967062459,4.277569343649327,6.423429346273606,4.092051407573438,5.542390084546715,3.637647726746377
8,3,8.002306833522029,6.290152788457262,3.6600212053899197,10.00603093633304,4.662104714890457,2.8223266407744507
9,1,6.282370206766347,2.8990351347743015,4.226915967188414,5.219769822868531,2.049586756027536,8.91883874327839
10,2,6.0857436015339905,2.1136285833593864,3.7374384625934236,5.191885295455505,3.0610577700983357,5.08833346209376
11,4,4.242426966818002,5.69427795778198,8.90590550278266,7.057277503700945,6.42132074481654,6.283858414005362
12,3,8.77581821552514,8.10766226276819,2.2547728253892614,8.818146271919119,8.933899595220177,5.318428450410022
13,1,6.064581352625691,3.5147581283181575,3.608067236037892,7.097668831772906,6.123901808868588,8.410887025051842
14,1,4.961235642554669,7.450807560857273,6.374127389533321,8.77833525638945,7.7961684628963015,2.2849492539545846
15,1,8.032540539186797,5.176836499125775,4.232176465583749,5.017020536518435,7.042532370324271,6.357436148786951
16,2,6.34839288756846,2.3191312106266526,7.542579082184144,4.308875294555638,5.16053928501424,5.379721623127014
17,0,6.615993834800842,2.2539927650792273,8.613463144911185,5.049260370596324,7.118078766325268,4.339134025851888
18,0,6.198048437288779,6.022564152730258,5.6942340689502124,3.351383699057868,4.257207933974968,5.582681871362065
19,1,8.992272537353161,6.753268197474485,3.0903904994537177,4.801200533735066,5.462705960858055,3.110283990305584
20,1,3.806262493202707,4.286517784841522,5.013771663672628,4.999063661002439,8.030602350388726,4.305973114216597
