T,FC,x1,x2,x3,x4
1,3,2.057800346299874,5.080880584105232,8.07497084373741,7.740223958538467
2,1,4.715487913281739,6.779099727626474,7.4129190461120835,5.083299730168349
3,0,3.5924284210468107,7.076817048687259,7.351358442545571,6.377033667329242
4,3,4.7349666586207695,4.454290541280593,6.6598585983203185,4.667485852492152
5,2,4.373191490664233,4.268635157223416,4.014060408268741,3.234251211613393
6,3,7.617898740067026,6.083781795780087,8.284095793863804,7.530131331177577
7,1,5.590523416001676,2.4278511916278402,5.111146744123178,7.096825502741444
8,0,4.3477692312919,2.2482235522429974,7.082737583853752,4.750109532704397
9,2,5.2100308464477365,7.4879566027389455,7.378839595741557,2.215607033076072
10,0,2.0524316741553448,5.477253039222904,7.263718894875295,3.6033384887859654
11,2,3.6093807574491272,7.005491607774381,5.607536989254878,3.6047083645252016
12,0,5.342449564214966,7.722494696892715,6.615291835886916,4.063502171161904
13,1,5.174011458334514,6.466035015546109,3.8122948759320416,4.3701498944455555
14,0,4.038191849750561,7.363441678029326,6.064287230597975,4.56215624116566
15,3,6.449555736864745,6.070973564185152,3.3354679151328326,4.182515396230714
16,1,5.412612995206055,3.1980091394770196,3.7540817222443583,7.149002078974896
17,0,7.208195564496355,7.718574851561472,3.8028498557058845,6.242991475785178
18,0,4.156719069878964,2.9709532415694744,6.716216862789589,7.029415151507645
19,1,7.877822156717893,5.1508859548220665,5.271964693681628,5.747790650546993
20,3,9.135139121267615,5.487646209604504,4.4451087492626495,7.05600367164065
