T,FC,x1,x2,x3,x4,x5,x6,x7
1,2,6.116149972685642,2.5726907300621233,6.15392933858936,5.290138288743445,4.926794531677339,7.726890929305958,5.01753181953057
2,2,8.896641602651883,4.047278208867519,5.37409435053277,7.960764898791343,3.5556928987629473,5.773811986124792,5.793679340917217
3,1,3.7390700139555433,5.668343786003621,3.1495948890967935,3.9953805698867226,6.058040000187708,7.4334485872149045,4.058705315966325
4,2,7.347324544186694,4.547668222096629,5.772069998859745,5.812054618495537,7.0710265351106685,2.817239329213657,2.1062917030196253
5,7,5.241898675250496,7.522393903518446,7.158598325625127,2.3046262844131107,8.77454985828846,7.351751420525426,4.518898786933566
6,3,4.300601994793316,6.1500680933712415,5.199006734814147,4.84905607701012,7.391066526412959,6.297683004582003,4.27199201614537
7,2,4.808102694964412,3.1161403050326832,6.9786448173383455,5.215973600018374,4.019814846187392,2.8690467590463005,3.5712153761300103
8,5,3.032297798776632,4.09618304708864,9.045473388787821,6.438548102312744,4.650175036368346,5.1850539763123695,6.699419353002684
9,5,7.439690682374888,6.529795717038919,5.343870524315438,5.893003583960274,7.931987378741919,4.938705182653855,3.107005812552745
10,5,2.321817766935453,7.669056860361826,7.704128338294241,6.487906094009681,9.414854710616444,4.452481717952534,5.290846738061021
11,1,3.365722694388011,3.382321822118736,4.062274185801815,5.974933880513208,4.245757181452281,3.7766531032557964,4.4221111514878055
12,2,4.02697351440424,6.440740350491219,5.768784504231148,6.936764628235904,2.1352840261984585,5.158402011030864,5.022042721586603
13,6,4.119082763615922,6.0269649284130224,5.290447038911575,5.071775189901428,5.759201366551888,5.972002636341344,2.4820257921318065
14,3,7.562836023382466,4.446824076351884,2.1483749936976895,6.601573604501552,4.80222569654345,6.091718455576652,4.2972735816562855
15,4,10.224566140713652,6.1381008360050915,5.684762662394318,3.569073194841081,4.156978074947037,5.699325807682478,6.5187009988372715
16,3,7.498432690550095,7.2046764011736215,4.119690097223282,6.334120210365597,3.501570951814776,7.6284328789720295,6.5054762348385236
17,3,8.030102023081,4.455150220103962,5.636846173170752,5.436952597032632,6.210398194071704,3.196842653419358,8.605529591850312
18,0,4.837696319279964,4.431784341876515,8.403221708140237,7.395443446039633,3.208218374729821,7.803649119648861,6.014142998933368
19,3,4.631944332207159,7.003144652755801,5.201446190651904,6.535089997959869,3.2263528805057136,7.150917659151594,3.3353341730349526
20,4,5.2242835804328775,4.2877995725513145,4.18764664340519,2.650551125904559,6.369417158362132,5.079800036712848,5.894418231831142
