T,FC,x1,x2,x3,x4
1,2,9.77195345398815,7.552789353052653,4.443528914450409,5.275059016315011
2,3,5.090728428754798,4.685385421820935,2.5993510966850115,6.90545689208032
3,1,2.2284846466434667,6.841047250279658,7.471278460857676,4.0338330607900375
4,1,7.3452180565976875,4.098215491393126,3.6507533052356784,3.019894947926881
5,3,4.707336230553475,8.879626473773385,6.39939319317175,5.563538569680801
6,4,6.541852614851336,3.1084869264339865,6.543445599873276,4.9087255251851705
7,5,7.35119930771772,2.7064813906839635,7.162968193184597,7.206704587206795
8,5,2.012459645917201,5.358299331599657,7.9631993294732455,11.13847422214943
9,5,6.508470448540583,5.198834356888199,2.3411928475542196,6.615070247111063
10,6,7.425048070541134,3.811800527531551,8.275883121242803,7.263709437194118
11,8,3.060038401297223,2.764233968474689,5.365316412850139,7.010541453443025
12,2,7.227466682794461,5.3888801250585985,3.4360592126641016,6.89926749746527
13,2,3.007960862212658,2.0098571489003314,3.970678100797309,8.577100484221504
14,8,6.566275026806193,7.090491679237998,3.2548121843094213,4.107994470167449
15,6,7.198154384864721,6.936201682805542,4.119431979664936,7.001208807746022
16,5,5.025576283431982,7.351127952250428,6.000081204526732,5.152945183811546
17,2,7.083284508989084,3.6281096611261767,3.6479226976702437,7.17209139704393
18,4,5.716058020577135,8.266273796645901,3.698256893913538,7.14928591341888
19,4,4.025967500388597,7.239181549686142,6.921233626389938,8.835275551354442
20,0,6.108156988487142,4.175791849983552,2.0871699552774268,7.978968355589456
