T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,15,3.1203897415228568,7.932190164634296,7.979371127147555,6.332627909857029,2.9162263657115743,7.502434914032583,3.941174670163258,3.026236994468161,7.610695954134605,5.101367810930561
2,14,4.2706882499143495,7.656326074288623,3.263889502543698,7.575597925192927,2.7533068028937064,6.570179744849172,7.818420959362744,7.6211482434167825,6.614769356178967,7.062443699197247
3,17,5.380245633203264,6.558705654333895,8.02879857752814,9.872926174519971,4.0335624888597765,9.178272710361572,5.186357246107958,3.9009904637461847,6.031194440275718,7.295059273689554
4,16,4.069562103215391,5.07312630882746,6.849031927535713,5.325749254996164,10.304438267433689,4.445185975157841,6.385279011513929,8.745459913083863,6.509484845377506,5.416228829393737
5,8,6.036341668031131,4.595132098632385,2.0661818055454413,4.757523668931638,6.052867700565221,7.179298341364714,4.863566306448904,6.2960489492830485,6.2768951966560245,3.206615302568523
6,3,2.585466377370272,3.1961718745081082,8.250420795206612,3.6472430686273736,2.1946852586344447,5.113029769092435,3.4631102613544256,2.115616734766223,6.063598306099118,8.63254633455191
7,4,9.687585634536942,7.477779997264656,4.794012918541323,6.0084073541597585,6.168907711801285,3.5514129781907013,8.281337273971724,2.132258362685136,5.749992071621067,2.2993526767769366
8,3,6.233949499378378,4.061236630139942,8.448459113923091,8.78440264610813,8.677119496702643,3.129785658758081,5.696727293943052,5.237400248731463,7.5442294594525094,5.457182177682475
9,1,6.612399104526039,5.3772184500793605,2.783200339774655,7.372183854274404,8.394865371764789,7.893063056438899,7.587097162113245,4.789028546628473,8.197225080810327,4.796617580462835
10,1,6.709240729108785,7.055625188189206,2.240853813874197,5.0702854128189765,3.482037438598609,2.5630477061964068,5.189361467443198,6.359885996734228,5.404733952044822,3.041969582890358
11,0,6.902181790391471,4.653581378780981,3.0978394032067182,3.1859001472706976,7.302852028564997,3.1572072015895727,6.201119395528957,7.075486551417176,2.3233342595055655,9.424860758016694
12,0,2.0979524291594926,5.815177879514639,3.4148018210931785,8.917012008548632,3.3148403817474454,3.69966091125791,6.868809915530449,5.022677014920598,2.804637103962561,7.951298941282562
13,1,4.38015915845847,8.707391433375745,7.588972219573934,6.166898016453693,7.635384391285333,5.022495992965385,7.128383230788706,3.153200496797379,4.759674280457592,3.543984044487449
14,1,5.218748892310519,4.299660189569369,5.185119781311598,5.4589151575878025,4.225514692405005,6.5118594677500425,8.98108999013422,6.687000865848793,3.224853848750842,3.6489389806019425
15,0,4.205812404757329,3.5917205545219852,4.047191130569111,2.652161186289732,7.362967088639553,4.387865635840287,2.4982663251033435,6.537997301040047,5.895121030995772,6.041536027695448
16,0,6.867121942453767,4.82935400127622,8.559375507854934,5.360021952816896,5.072399907576137,10.381532349393842,8.861074152274295,4.623163500517196,5.513731965662839,7.542208580655067
17,0,7.049037682337426,7.802612493355734,6.358487497473712,3.0847470887872452,2.944632748685813,10.477517597843232,6.211246574624254,8.75531192340122,5.015925814210101,5.029300980626262
18,0,4.354598120052993,2.254847046900602,5.402462814605082,6.125363461060669,4.168464920637879,2.3255949701880585,5.94524526675624,4.954862685024933,7.224884821397303,3.9023031183154546
19,0,4.5757647057618565,6.653779914554645,7.873666793499109,7.019803976315642,9.028694003252113,3.339090847019318,3.3075903283944643,3.3914152555442385,3.0705791909796725,5.670889696000829
20,0,6.90275607514596,6.27862565896574,7.9668960551943275,3.6562130190048068,4.517986692082358,5.00076205721532,3.315767166686717,7.488330968494198,5.060667422246793,5.0251649338219995
