T,FC,x1,x2,x3,x4,x5,x6
1,1,4.197729112207724,2.018727722100786,7.199126045615949,6.60782511241541,5.048893904969812,2.8063877094011755
2,2,2.4098613817033487,6.795070632839106,7.358098773661523,5.090941442736958,5.3876816146231,2.3018410186240654
3,6,6.309084624338899,5.123594851896711,8.523194839577679,2.010021150236249,4.443506894488398,8.55321076909433
4,11,4.031195897130019,4.94843940319794,7.685289724589873,3.121259208275921,6.3667460550148665,6.943181558301842
5,8,3.9073146261578007,2.1452333351399155,3.580487738768288,6.080072212041561,4.8394991357772446,5.414420049442012
6,9,7.3924139069894395,7.319410601232567,5.793595983304801,4.48416144294713,4.106315933111818,3.8107144353147007
7,18,5.619058401153706,7.790454900655799,7.519289320844212,8.409970148958571,3.1347813836609895,6.424274959347611
8,5,4.029480167717707,4.3830653013148195,5.895651907096515,5.36078319050178,2.165185170235513,5.46264263081978
9,7,5.706332605549437,7.026783253417473,4.060612416142454,6.2702642636676815,5.32053538481588,7.687247000260497
10,3,3.813702122409087,7.70262183045902,6.574268933320261,6.778640432018147,3.058082144944068,4.14057220915448
11,2,4.956377578192842,8.394948792665955,5.272745090328504,4.215928450753245,7.045298491076808,9.696354384093931
12,2,6.863101420542845,7.227977383724257,6.0354595112702505,4.701266452603598,9.084042283736903,5.081307542238305
13,2,7.316507272283303,5.21300858874842,4.062006112535111,2.4466991943897654,5.808429605613969,5.767181156477716
14,4,4.665651482927182,5.137423918365059,4.082282776661436,7.809694170623383,7.904000741719463,4.733050566992251
15,1,7.5478502420602185,6.154721380680753,7.5275160548791495,5.654281292559003,3.105500593488597,9.30980198147054
16,1,7.277549764384079,4.038551778225972,8.26297861377541,6.051385096948471,6.509904672450538,7.9029016540157855
17,1,4.328869742411059,4.813716997832778,7.012703969349577,5.372008715813967,2.7503881793152196,7.285442491024667
18,0,3.3540700051910832,2.077411771585589,7.07314342425402,6.363795261860047,3.024551126164688,2.5500026067181065
19,0,4.702664418044826,7.457842853820165,8.095739253711772,6.085871136289104,7.842732425913972,6.542355483287112
20,0,5.019290164989028,2.8052569458654206,5.027049955790223,5.430086101594602,7.690720666433579,4.779026420732512
