T,FC,x1,x2,x3
1,3,6.382019681686989,9.061067621065487,6.353546736930844
2,5,2.9115468952285033,9.177152280003607,8.105970010291093
3,3,7.519459930839833,6.308992031707907,9.48738239111331
4,4,3.9241586976518525,4.709605431904781,6.275810268864436
5,6,3.009285248060743,4.287540873930997,4.180089162722128
6,10,3.112439615294085,5.555447610327997,7.412971633363316
7,11,5.559568429632542,5.240272713271235,6.971452317478899
8,8,2.1731851371940403,9.48117615206731,2.0515225576165346
9,9,2.283251070950614,7.843815140585373,6.153840952143669
10,5,4.298436970698679,7.906111660537019,3.802758240766653
11,4,3.3135232506349164,7.084275925438185,6.247044370653955
12,5,6.223901304559724,2.5859577933055453,3.076315079866697
13,6,7.611441979116323,7.57937748495401,4.071118497723823
14,4,5.528717361865409,8.129249630962976,3.1508885861774605
15,1,3.0455555481293755,3.2837268877447086,5.708024681073794
16,6,3.089629148636992,7.064057738121586,2.3290749604773398
17,4,3.6231750311984796,7.15791561490699,5.486714573031372
18,3,7.969407008812738,4.034548902319937,5.5136101899898495
19,1,5.040536435204336,4.308316566737113,6.63374082630701
20,0,7.694247182743916,5.783964748307297,7.006929990955332
