T,FC,x1,x2,x3,x4
1,0,6.7771410566918835,7.068135811097183,6.475407508524587,2.3616673813497817
2,0,8.137520060978584,4.744315788160369,6.751918096631128,10.059378424592214
3,0,4.0559785518739995,4.469972790713556,3.0481936194869874,4.618496857487436
4,2,7.676880996703278,2.59790434312814,7.1101398231548245,5.151981565820377
5,2,6.603632368866076,5.8838996490988285,3.4455750824452207,8.090219974167635
6,1,7.899252280802289,4.609149292066361,3.1214710628502558,7.067403697644984
7,3,2.0181947136011744,5.245100365897269,7.917344863781629,8.940047768866947
8,2,5.886836844170105,6.6217830028705995,7.315182769289337,7.006370832379121
9,2,4.483352820849821,3.313320332597408,5.2580470599653895,5.713216239248363
10,1,2.2574626748617734,8.45110995730381,4.059720452165235,3.1799127191696166
11,5,11.036429259692357,3.4428869259381636,5.837837165263754,4.084291853491388
12,1,4.583557404293572,2.1618204045864378,7.014428539092213,3.8543404600169544
13,1,4.440710811782544,2.9105090550818344,7.273220480992613,3.2760554199630683
14,2,7.090147647044763,10.725480764355169,5.885745387385143,5.114116888720331
15,1,6.412549172159424,6.313360531662753,9.177596388347897,6.7695611278545265
16,0,8.673741151672392,5.418615715794819,3.9714383465838354,7.362382632233559
17,0,4.20502882601178,7.7538138902612435,5.720812872978576,3.1737544502165793
18,2,8.54111945717029,7.496851110332798,4.8307931621439,7.252287920031476
19,4,2.144360188152116,6.004523756234956,6.739659082391394,6.368773711918498
20,2,4.069267348852142,6.748824603238834,6.558452779733676,8.35665367715385
