T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,20,5.8399966750167245,10.724838888382447,4.3997149351903095,6.42611601548215,6.1683035332723986,7.31193961137221,6.269496753717521,9.351677750195641,3.3188420094503392,5.250483250456323
2,8,2.288396205913789,6.278191861985457,5.618341776583305,7.94296436993262,7.328877775361558,4.784750555193134,3.326306423778032,3.4398254291417434,7.0338352408042235,7.1552012532933045
3,3,6.4670121422835845,3.1528677929387126,6.103978618798153,4.172922882139932,5.046011126686373,3.1672181307799994,3.152866094447223,5.921879966821017,8.658653348840119,5.113634643399122
4,5,4.56124960860174,6.727620350122321,5.897611500738654,3.441977263460018,7.767050278302327,2.732856625801417,4.904576240264248,6.37706456629785,5.724497205646469,5.124054041473815
5,8,5.3342658157550655,4.720076047639709,9.329320963202582,5.915717161943428,3.2873806246796566,7.319923443386632,10.440461171848678,4.3254897107079,7.7478655322277605,7.118799797061326
6,4,4.335694066483686,3.2637871857905694,4.834715797529187,6.394320740117961,2.2523172159550313,6.234375219542553,6.143327426366917,7.091041931540744,7.712773152282021,3.277699432354939
7,4,5.701376456001415,7.142049137024974,7.398387983775917,3.6695868297037393,7.017042166394173,6.013038495396756,5.1079828793173485,3.307140760688663,6.142239781434645,7.67326136304499
8,0,6.331232219848027,2.126352879567941,5.269912031817581,8.213556207819787,3.039040482587035,4.0551870028909125,6.01917105743032,8.651205311687665,5.2509231414401345,3.4063647938082515
9,4,4.039710377812233,4.147002384787715,10.13624546378648,4.3812381343210145,4.1407464283580815,5.0986948005387935,3.618318290453676,6.0567087482203075,7.998963346106824,8.297300509700083
10,0,5.559169743926012,2.0788432489888122,8.236045077388493,2.407589583103209,5.091559111707272,3.154762013294381,5.009463630028389,7.676690160528384,6.01512456972523,4.064209446420667
11,0,4.595331519700683,5.843269327153262,3.2551192699517344,3.2444582710986607,2.5624626490141598,3.246172344458729,7.1811037469610115,2.928686307602992,5.493090009019921,7.086843400754361
12,2,4.637070726660403,4.96024639861484,8.074195905575344,5.571756073022177,5.52029455151146,4.084235061072941,7.138318404448124,6.777087508507064,4.287753950603674,3.3353282169919565
13,2,9.778191308405745,2.4048750469864144,8.105566665606595,7.043043450668179,7.881685736588123,6.675494956635959,7.306332388908054,3.3960801371335574,6.980962107507663,6.7129740635452
14,0,7.354866910539393,3.0346670586381097,6.174181975478977,5.709160286985618,11.915500358768579,6.018955559594708,7.695769582013161,4.300749059822838,4.234829103357838,3.418234887391899
15,1,3.854021539080008,7.487462018265409,7.761821396424321,7.636110692993011,9.410386753598821,6.397146251356722,8.047628462821166,4.666732664005693,5.37994856368769,5.237235487695485
16,0,4.496922326305024,3.386732846965787,6.101412450378616,6.27203938351526,6.112002926141463,7.9561145478756305,6.567351192381247,5.1299680802619125,3.023841339539006,8.680998631966359
17,1,6.555864656494665,6.244664221734385,9.054639009547671,2.4779080344140345,4.601812291524341,2.6519439323278786,4.174231894052086,6.498742431932833,5.421156671698269,7.827232255184573
18,0,8.273255460746828,3.159993713078017,5.227083749170674,6.247611477135456,5.4299093084683525,6.854216614599276,5.697418092137077,6.774407150209709,3.3763635888176027,3.689991826304443
19,0,7.295281342972425,10.403384226193701,7.633965215527819,3.1113791713016323,4.466846997736582,3.208307565120862,2.802374480647388,6.8654346393643575,6.086223137360703,5.547511238705049
20,0,8.274406976127006,7.488067405858838,7.932852876662363,6.736483885694378,5.044646080919579,7.701274928701571,4.233144875759788,5.741818148388138,7.864507208490549,7.067297377201577
