T,FC,x1,x2,x3
1,6,6.333044325957511,4.541833879108975,5.884185472616644
2,4,3.604033192823044,4.270843317133836,7.029979993160297
3,6,4.394075164594339,7.007995942074119,7.148827981697678
4,4,8.191482212488847,6.34532681073181,3.094322612137745
5,7,3.2263102498916845,5.305070791445504,5.4629828727751635
6,4,5.480870748481527,6.637346002307117,2.0068311334884172
7,1,7.037324636199877,6.830559119824592,3.386356033317175
8,3,5.122184238290497,6.345720657625033,7.6373239386638945
9,2,7.538423187991539,3.693936339233278,4.202789517300049
10,4,6.72991864238621,3.952404161417439,7.7815911382416205
11,0,6.652897388811448,2.2294648015360434,3.545547834701757
12,3,4.1765730580022975,7.296278554005278,2.142110249780325
13,5,9.677154354410378,9.263368883087006,2.7389255692883747
14,5,4.4224277472960045,7.92035780148148,7.434725406393917
15,2,4.903497526764463,6.9862478266269745,8.301872939725095
16,1,3.1451622508618153,6.647039190161049,3.406348510803114
17,0,7.3344900679546745,6.6220219598272845,4.534287411561364
18,0,5.00860610187158,4.910258812041457,6.283767673625284
19,0,4.918757285528314,3.040928027007384,7.512354211153985
20,3,4.439667835665953,7.604039135542597,2.9095662636781787
