T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,0,4.178862711823738,7.219858598428958,6.69007517353556,3.1918162513104416,6.136715100324024,7.185470148247466,6.036160196744485,5.330107208321517
2,0,6.637213446669728,6.186257670486601,7.762022743862869,4.147475408768025,4.497670511826501,3.727970370947916,3.1778750716135886,4.682540000864139
3,1,5.068715106890717,2.651820308496009,3.6116409397564495,2.5638926890144416,3.337098701378873,3.253665359511846,7.341692657931948,6.1288522398213
4,2,2.292085546667996,6.177981684496113,3.3450208937016446,5.0884220226171335,6.89685595203221,5.246008137255293,9.79073838510378,7.8356993233762084
5,0,5.247732493545442,4.7901812148188725,6.922812444162545,4.546997619133637,3.254996907378744,5.308377423056042,3.1602646705071757,6.789956585560329
6,2,6.241894203497555,6.383770729243287,5.601842100019512,5.974435973965587,3.306779395145111,5.155046475154455,9.811116910387206,5.995981099532988
7,5,4.3407703546008225,3.457764192438419,2.4466028505084303,4.044481209498921,7.618785629298761,8.062392739452527,4.0857297301519475,7.294604568959237
8,0,4.409517528539774,7.805629776081243,6.212215102510151,6.572483560410276,5.077003201291634,5.203311114930567,3.413191866512489,7.208739248619294
9,2,6.23508446849925,4.085940127121259,8.189573731548947,5.835867161890899,5.3149944172474335,5.173368605764329,6.104751995389671,3.5272849101837465
10,3,7.372620493291515,2.087785949430287,6.983718528605889,7.193202994529163,7.8146539165718485,5.5197704442537034,2.468393148499803,6.886037424388265
11,1,3.6619577092889153,6.999087540101885,9.60278483056212,7.7910049741083025,3.5561108975489484,3.4090396974192974,7.33947497483652,4.438800305684327
12,1,6.948127824764586,5.722851292079066,3.492617647438122,5.57801901128816,8.588466746480442,4.228427698091661,5.1960639144784935,7.122149245838409
13,2,6.129314868049564,2.0927760968036355,2.743363252865055,6.293639805217403,6.404362807594742,5.7042425039937985,2.029664307864102,8.013050682727874
14,1,5.213942506130316,5.828120761769155,2.056403751737444,5.190741358922606,4.011867150654573,6.072070418257277,4.7857013598162625,9.02853789497895
15,1,6.649307113027433,4.052505027840327,6.041862258825777,4.135451955737087,4.179890002432717,4.907568102248873,3.5479695922225725,7.859757081776865
16,3,5.197524684114723,7.099528633226075,6.620809911896274,4.903492722512316,4.321871915277677,6.381924166695271,12.228050676858778,7.229092594444991
17,1,4.155836241283728,5.302429857081046,4.074699871799332,4.019450805211332,7.559565600484262,5.557946895019264,3.1632776139803838,4.046033696958676
18,5,5.549837177955613,3.7299482061006155,4.675084694890128,7.290540081724126,5.78463278229024,4.521260870344196,6.761547598412916,7.464916467567633
19,1,6.429931975309088,2.884075176601132,9.32158718694956,3.0150984995760655,4.5140534400256875,5.380714709281821,6.0743425801573565,6.095710736909076
20,5,6.530807313457764,5.95677270093695,6.056913588260301,3.9057256903169737,5.3050518928992645,3.9911186632683084,5.1465157640679235,3.523182467169133
