T,FC,x1,x2,x3,x4,x5
1,1,2.6607970275208848,4.337957149869419,7.010981962157104,6.290974695308546,3.467967809338907
2,5,6.183352871874551,7.504420886233859,2.6481621204529935,2.118056585418139,2.9113227374829664
3,5,6.8249308674593205,6.061450270965594,7.6635451122087614,3.9899032127885303,4.226226567820421
4,5,4.07778055946289,6.191743070266618,3.112500302652159,7.509125090778604,3.498877702316521
5,2,4.178570782886983,4.084037589570292,8.024147396179469,7.597800037446618,3.282367216216682
6,4,4.324077985190061,2.7838859110724985,6.1192195738775705,2.714931026038182,2.8172808023388374
7,8,6.949519167398471,5.075195428225129,5.0633808442227535,3.867143996189012,7.5991574566156626
8,10,7.326801954180877,2.0369612113165037,4.0158758987216965,5.153493730100276,4.643159240019037
9,4,3.914100121433213,5.219170070499263,2.705169122315857,7.977029939138235,2.7697593359396286
10,4,3.133266122774905,2.491291156996708,2.864428773669045,4.497705172676454,3.104487162535488
11,2,4.483497267269431,5.301479601013948,5.705345467245579,4.353875262250985,8.164161735220695
12,5,9.05350771982782,6.0202056534953154,6.798982475188613,4.282736743880973,3.735316610183128
13,6,3.9394564854699583,5.281707803465964,6.46473138896168,4.887863747655507,4.045038782643759
14,5,4.770366610456357,8.248442519353514,5.4928250661093205,6.773383607295736,7.840936601745424
15,2,5.119263400121919,2.2570583887483333,9.09162173856211,6.592175764801901,5.737343448345992
16,2,6.697369399327799,8.487178422896728,6.795355564494801,2.7365914063920225,8.610792021005754
17,2,2.302701141610245,6.168485396276201,2.769038199786131,6.2124401521232615,3.666024854524187
18,0,7.650260221493001,4.3567411841919546,6.517460386125154,3.7119497659312115,4.080807201681642
19,2,4.234582832183272,3.2859417084916815,7.101049642405471,5.2454590316537235,6.682831817478934
20,3,5.4380511188307405,7.402857007446437,5.266353666183193,6.149245296926535,6.590005941832097
