T,FC,x1,x2
1,3,5.439230997924958,6.162554540960902
2,2,4.888067932566994,6.365032538002523
3,1,2.6795478215699395,6.272740014012038
4,2,7.001984308491718,3.071970454680953
5,3,6.451431313379471,7.171904450461093
6,1,5.6041069729174895,4.658848621443253
7,3,5.2499273042610035,3.081931947137106
8,0,3.1931667687871457,4.089857043342936
9,1,2.046046822141334,5.26307250430143
10,0,5.882867077136108,4.026599833577623
11,2,3.8425974406134014,5.11438358073493
12,1,9.079098738940345,3.3365986268476933
13,0,4.4466137620996395,3.921742998239357
14,0,4.270252789919688,3.3224067325893265
15,1,5.1122184059357725,5.800666458028362
16,0,2.372518570422566,4.4836682478842445
17,3,7.085508590799923,2.0384190056227514
18,2,5.046696555220961,5.075277779565874
19,2,4.1730414448096305,7.1884298972820115
20,1,5.1127901505488875,5.609041391737168
