T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,5,5.6321561062854535,3.6118299178684263,7.484582526086913,4.4363628777576976,7.540263028126883,3.4639397172885196,7.4034449600377625,4.108781936067364,2.8393632668079816
2,4,5.579105642760321,6.550177211190387,3.6259040462801524,4.677232448381353,6.7559034772881965,7.833145048650804,6.927425322932489,2.2736694394052197,6.053751568995507
3,7,4.917053829407903,3.4966077227889767,6.805430714255298,4.413673061533847,6.555279498023832,4.83909014618721,6.235961552637976,4.387533951137415,6.111760198890076
4,3,6.20530566512855,3.0130262088274824,5.32198061446492,2.5425374328033143,3.5888349905569443,6.241689482432641,6.008538950132942,2.9575239210477733,5.266920806085717
5,14,4.138317646957421,5.049013463327333,6.912240968302524,7.798313363448064,3.1266180071577128,5.7821167749892455,3.5438370148956904,7.161093814730908,7.507882283522349
6,7,3.84886563705532,2.1118816380993777,9.483902363539276,5.1654101251211255,5.359075521697173,5.206110660146191,7.49164370263299,6.619794146433581,8.119131531708852
7,5,6.029433265045488,6.2020817843016305,4.827352312840792,4.011054405410742,7.569776166368599,4.202065649300504,6.608509131162299,3.6981110039256406,4.069500598078266
8,2,8.235948386208186,2.9445565966980842,2.3166495533950564,3.123183020439349,7.095902403800563,3.5647406610717995,2.1954547489053784,7.529330279922071,5.983001329305405
9,5,7.5649617861434955,5.266506056201273,9.415457786063044,6.630344014572676,3.584585509541827,4.252242374525501,6.446613088809579,8.652586849933897,7.194626468385215
10,3,5.660261449371817,4.956296761726243,7.38398992780253,7.201559657578554,7.1907010669340705,8.606589556117648,5.142313834990036,6.249529816236284,7.640195449850804
11,5,7.332592732649964,5.011079522694814,6.203868321229877,7.0436870790984125,4.803964351113993,5.218366682910597,5.183162254125538,7.908121429847894,2.8498055369173234
12,3,7.977193624663188,8.508511756767216,4.955544460300431,8.130410717527399,7.346424661948566,3.299292770720404,5.590851303782578,5.196100926097832,5.7778787614376865
13,1,6.93838108337402,5.402066451672358,5.670767086725674,7.082960769509106,6.482817102630147,7.392314541897827,7.244953114736664,5.1010755308263525,8.816084001559844
14,1,5.7947736628970725,4.9507557657918975,6.652448149801808,3.353603753953024,6.450557551581881,6.4105144880987694,5.249226046528005,9.50484292576159,4.766779225466481
15,0,5.505689515633119,4.627202277023741,7.6122836809879635,3.1254446069227457,7.731350233547223,2.919070481429374,5.629331163541854,7.73840912291923,2.371121406206153
16,0,7.502176689489348,5.95322703481769,2.804790568382008,8.974638127509493,9.345869180697434,6.478947857773374,6.044456420585931,4.188404983512133,3.083541707717541
17,0,5.27805183275064,6.893192998729389,5.458036283007341,2.061047528274423,6.209789167365164,7.066224036411703,6.0647903566480785,7.846946138049061,7.691137072888796
18,0,5.749472512986061,2.665514961423658,6.476161839860731,4.04922392360021,8.125102213054767,5.605098779730756,4.0477308123701095,4.576830566882443,4.6642248971206515
19,0,6.4525033517800985,4.138257207137779,3.208799480531999,5.742353672334357,7.223393044333253,5.200019104298403,4.617142342318651,6.348051738643906,5.134203017602337
20,0,2.1819671394961215,2.039487691998589,7.61026618759048,4.441149283830217,8.894508923347026,6.05959294854048,5.197422834947073,7.588482290101436,7.2566082279422615
