T,FC,x1,x2,x3
1,2,2.821000507001333,5.352813122159026,5.127858488180381
2,1,4.040656892740839,9.44118103511943,4.175057623919752
3,2,7.005717725927061,6.853395317810182,6.6758406071892376
4,1,7.081349104478931,4.590129212265674,3.07624951952357
5,4,2.0597468435412174,2.0503761732487855,3.5255578727430126
6,3,4.652015769451761,7.2871743624733565,3.79767108697908
7,2,6.443351678084114,5.692342975759217,7.355605641150261
8,7,7.943856282386945,4.353874172702827,7.862905713979239
9,4,5.769054229557005,7.859309289309989,2.339575350513551
10,4,7.635974936558667,6.940703661980711,4.269179432049137
11,0,5.143474988851893,6.76500818047807,4.915275670752862
12,4,6.40573950859101,7.595719011464444,5.122132076746309
13,4,5.488239615038577,5.2371337181003845,4.338796092092858
14,2,8.69868834435915,9.578839705332506,8.374177193638866
15,1,6.044281375060007,5.68551058860092,4.20492681390805
16,3,5.446691378973682,6.311035417036642,6.389502504024275
17,2,2.1137779524781184,6.7943506123959025,3.414546407026899
18,1,2.3831981095622417,6.646982874232647,6.138854620074466
19,3,7.302150681091496,3.9637672333142477,3.773869447081647
20,1,5.25121601067162,5.883769376975362,9.381823643379755
