T,FC,x1,x2,x3,x4,x5,x6
1,3,6.427798357741904,7.8420958245122225,4.447387820543972,6.383399750022857,5.369601774307958,5.095633381304882
2,4,8.02336612954146,4.20176581581129,7.612257050762649,4.274555417834037,7.6771059190403195,8.063642402752649
3,9,7.1265760952742285,8.292444062172656,2.9315248512682435,9.742407244474533,5.61540608285754,7.45771636557917
4,5,2.741599727695403,2.6773540812572723,10.846763743368586,7.261210977550825,2.363838748863724,5.959875542781704
5,8,4.410846115703797,4.612954698635917,5.121976528211297,6.895809998705265,7.3097278193137205,5.158313390480476
6,10,6.359758562897852,8.636027820123532,8.104450652422226,6.4927323899883564,4.1146316004334995,6.61686223777553
7,6,7.118688619157744,3.151259241613864,5.573120208204156,10.280826765053575,10.101139318717214,4.257928808344415
8,0,4.191524572300041,3.0064805488574944,7.645986895372006,7.010687196004526,2.164470887286302,5.759773991419791
9,0,5.1540803964732556,7.131078576772423,6.6037062733377,3.0112057822855602,6.580650979216186,7.85775665745342
10,2,5.847635128945532,4.084740601294403,6.138661843675448,3.361457294104169,5.803523379529153,5.515416011702753
11,1,9.286796994186318,6.955908612060119,4.65354486447378,7.925896252769477,5.140121778057756,2.1478600070465648
12,2,7.776975802844937,7.089868005487264,7.031338530480829,6.639388490668078,4.813401192866456,2.2382309250823047
13,3,6.436275708018725,4.058769939978544,2.0544659879781024,2.4074878722097934,3.4711460753969012,5.503877723292733
14,5,2.395987300864112,5.763411410392811,6.720857966422806,5.004369580941175,7.090894073389215,6.463229956180461
15,2,3.4620533405754954,7.0949183630917565,7.5924015415065575,2.8282587370618257,9.089735506920713,7.054312420745434
16,1,3.0730741095595104,7.363938898236244,7.927407858678214,6.9872087833372465,5.045329380849347,4.2900834884679355
17,1,8.59254781134439,2.1557009214226515,6.154849517939334,3.705928276143448,5.289828695523099,5.586075717253597
18,1,5.162990288029828,2.202814206799229,6.983840101643507,9.000349316770315,10.35466408772334,2.9350609360406663
19,1,5.690484353128336,2.156713243666581,3.4601269786187325,7.161545554988913,6.706651643896512,4.738802938576901
20,1,4.5006581811693716,6.0209921623266895,6.131453630126346,6.3170488988576485,8.225311459202832,3.0622557179789105
