T,FC,x1,x2,x3,x4,x5,x6,x7
1,2,3.0450225249499203,7.783549097799307,8.188190020711241,2.938221851075743,2.05404388247581,5.010578344744212,6.089818620868
2,0,8.248710524205196,4.83800518429932,5.823860229609577,7.182084459360906,4.242189161981832,6.211229517127182,7.351048838563184
3,5,10.32724145402689,5.052831734088713,2.6575508982150153,4.6205908122073485,7.604323315890955,6.215643880339095,6.940818135691446
4,8,10.095254246252912,2.308136603420235,5.287622617471511,5.162719761159583,4.296358497863538,4.425365045623971,7.164662626943149
5,2,4.642507642578237,4.12578971573828,7.157285526279147,7.879022703019001,6.081794776234183,5.1034759241270296,4.375826329123374
6,3,2.7009366128283743,5.438802611707914,6.172410867951958,4.599064689153922,2.886830235757693,10.798493719484531,6.860664683423347
7,4,6.665026223432779,3.7464128850509413,2.69438547393999,3.5534208206439866,4.026067911032632,7.016860807700908,3.7100667524715303
8,6,6.085145396124904,7.455903852817439,4.0388230897418715,3.039440140197164,8.580922252009861,5.31078101275923,5.045678401926055
9,7,4.177037720139065,6.686018697848207,3.3039800671512123,9.320374258363094,9.569550706543108,4.608639848288657,5.357286649842304
10,4,3.3018064746122757,3.3551529425952618,4.184735206616022,2.17615993126943,4.126762304931646,4.235125439518199,7.114170972108434
11,2,8.56707113975991,7.495035071588018,6.29730786760706,3.700261683702013,4.371564522024128,2.1792648828261982,7.387152424848192
12,2,7.996239485421772,2.5061730087328744,4.3197122924075515,8.84972165336207,7.157930247985333,5.337590129148819,2.8468531505917247
13,4,6.335791740745007,6.814879725942037,6.608138178843555,3.1720052930999016,7.4463929959593,7.426797310734875,4.754142433872005
14,5,5.832785180714907,2.7555505333347208,5.315137947215367,3.1837109979630522,4.748146558547713,4.313880507634063,6.174569286484172
15,3,3.525814211999616,4.763134824698625,6.8158984190013925,4.540906614418485,3.5490857505584548,8.771105285220143,5.002067623260514
16,1,5.226707809704747,6.465809053302835,5.108078455762648,2.255313218210118,9.046602519061056,4.4340651257928485,5.434131385591354
17,1,6.0277694475136565,4.173815450080636,7.358797390041545,7.359857341185225,3.642776686292282,2.330965795594106,7.077792030142688
18,0,4.313532682724743,7.66571939646499,7.146079299613406,2.067410774032215,6.793930868523529,5.202430158156305,5.469673515570154
19,2,4.0233630155280595,6.804071788141593,3.227598719452975,6.655590200672935,3.500688406664159,5.087203779715876,5.660146964273094
20,0,3.3018663982919616,4.752007364522609,4.63659730107378,4.047941048939345,5.97539440091419,4.915177917776589,6.119572138902842
