T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,4,8.467873024236301,7.605568538637632,7.974101870660473,4.229546817419437,3.3692462706477166,6.730463000269529,6.383075947291109,4.618893499382977,8.461019022120157,5.571834732056708
2,109,3.1322794044226967,4.44994241407971,5.0039223762563685,3.147595082102592,5.76092404334649,6.8637518721361825,2.2558097099525485,2.297133093264114,4.253702318090736,2.836309136233827
3,14,3.2212616529857296,6.888463271683411,7.160209928342823,7.659251757468742,7.566986329113862,2.1621131543732104,3.5675324457969158,4.640869077452162,5.4258026103819965,4.079187877337133
4,0,3.350971189792444,5.363069335999114,5.691148866577079,6.552213246244485,2.019077236802015,6.862127686951058,5.173332309943483,6.711303093682061,4.7346603305123125,2.5352207795232786
5,0,9.673900900721742,7.052198972327534,3.67423758114291,4.462367996996135,3.596575445357538,6.097868733806509,4.571989418402115,3.297110515385061,7.08693488078725,8.992547456009278
6,0,3.2559802078541003,5.345711165605408,6.189320386581327,3.1572708656643287,4.052740762326719,7.758259686812549,2.3149701157281077,4.972990551048716,2.5943932718809397,7.052862595013764
7,0,7.530733789502229,3.203801246732146,7.239158068029197,6.168693096759947,7.590914728681189,3.2762953664705536,4.11962733069571,7.0541566037008545,3.8358697020162533,6.615662066619542
8,0,4.2933575420997,3.798292354456892,5.34286915956285,4.741240145570765,2.1038497013121567,8.398910887077381,5.763354547893359,6.513122670444761,4.185207618162454,6.304966062110686
9,0,3.550275920723368,3.5215906367316987,6.094490859365842,5.1976179632856665,5.777381438876005,3.3667153084878465,7.634731169079756,7.5146839616288,4.511722880284984,5.719411548805457
10,0,5.702103196071414,2.332907561994517,4.3007629868020585,3.6281243679266377,4.547998626434657,6.336214877644434,6.056227493049832,8.605194276997933,6.846309813972719,8.422624348123005
11,0,7.772332651616424,6.223886293448633,7.442401348007347,5.734677268238769,4.183566241498092,7.2386261280401545,6.241258126921165,2.4958521063818937,7.484419370330221,6.036478917138705
12,0,7.635382882276863,5.7083249344443985,7.145168463924776,7.7321287044843245,4.467921264438317,7.179818821229288,5.375491054480864,7.498290135908651,6.7963611900315195,6.575440244867529
13,0,3.8824785665604256,9.211442136854897,3.4669061970774213,4.128558365752316,2.970805500713506,6.435295695745588,3.270233974794508,7.227237891305175,2.525587996114183,8.655160860718558
14,0,6.106841498774474,5.676969539250045,4.64268888315033,5.389631260139195,7.289954482628581,3.3182773303571023,5.1171787378834,6.123320381420896,9.165589533640073,4.083071557346839
15,0,9.093705383615138,3.4522791830738133,8.323606203746028,7.208912975332803,8.318572301538977,6.2382736471869995,6.867975884751047,8.529391881093364,5.8051845867413014,4.63883987544542
16,0,3.212232334554061,4.189048717136112,3.665610147372618,7.420908739514141,2.7522321268289045,3.4840134182830695,7.020460714209372,3.2127947340166108,2.4733129813311003,8.47675790240374
17,0,3.2892371074847477,4.5002629392113205,6.913135446010785,7.009527335655759,3.903827903542922,4.065876202029071,6.537715852766475,5.827992432240137,7.938496214135969,2.611925932964455
18,0,4.337900280652018,6.325721274888778,8.921319781475134,4.733158113071878,2.2806167380499085,5.546717518889936,4.147965991025038,5.695906027876415,3.845567116312508,2.9586894226833693
19,0,5.125438905638495,7.200050145905601,8.461818219707036,13.299704583596297,9.450338140094685,5.173160912106303,4.02713925176591,5.471836144002424,3.490366000752217,2.3211888092859727
20,0,7.568392641181657,6.063771371183406,4.614970985918319,4.320599607581163,2.367621915610663,2.303206414692298,2.6813700031613004,6.005985451671129,4.045209298543521,8.665624478915053
