T,FC,x1,x2
1,1,7.439299290825938,4.64385996182316
2,1,2.2326605350446505,5.751516577461869
3,2,2.9000252559521558,3.3098416406392377
4,1,3.173806479055301,2.5943827376001916
5,3,4.076486094688645,8.002016264630488
6,1,4.689419006849494,8.301027563592406
7,2,8.305166591763474,7.989690792797536
8,1,3.442603796219277,4.679609351952095
9,0,3.809261885533294,4.639464250559799
10,3,5.138582740408758,7.995822624774725
11,1,2.2018044474858964,2.2717734259386053
12,0,3.6080763969357195,6.547331045954728
13,2,7.207846384880206,6.062093618017789
14,2,6.127134786122111,3.826195713518148
15,1,7.503810062713205,6.031401503572443
16,2,7.301196829247125,7.162740075161665
17,1,4.063043479176266,4.480818617166753
18,1,4.5225971441292145,6.279847397749749
19,3,4.170149922956114,5.885839565919171
20,3,6.645627642081173,7.24498608421677
