T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,6.7894297220722395,7.377901865842519,7.208181242132731,5.568944790360863,5.049962290893745,2.5322577375307627,2.2664847178740275
2,5,7.071010315345711,3.4269022152953577,6.762293176618921,5.919874816577755,9.155098875826951,2.110453137702222,2.68181057319193
3,2,5.814918489786989,6.050311217615262,3.257869740637011,8.058987101824565,5.911710610449148,6.239797459667174,3.0132220717170406
4,1,7.28845327032845,3.4089329632962504,4.629523374528057,3.9354419426196734,5.744153089696151,4.01641969381801,3.3490015165087144
5,3,8.493276637340257,8.0713914675996,2.706279768713362,7.556066684175217,3.418504724967408,5.331859157405672,7.034287500719548
6,0,2.2458784185388345,4.14469693484778,2.271529944310112,4.62255985413338,5.002910408409194,2.1460394092395116,5.754587760341532
7,1,3.2241453319918105,2.445866251739485,2.0175963616828336,4.150505691588149,5.11187551915305,5.731097790299664,7.441738744623559
8,4,6.437096198113375,7.99010937363772,2.0310236718422527,7.303746338202371,6.009812593712041,6.271068655972034,6.952370768949286
9,1,4.981518413681483,7.4896188678290105,4.120262228905514,9.980782892288467,5.580266421164036,4.075850862951069,5.367212580971074
10,3,6.733087348169039,8.101035845413838,4.025791634176691,7.526034856547454,5.816177501784676,4.402388803028208,5.045619254281076
11,3,10.603566389853304,7.34022990350998,5.1486943660387885,3.3451537877215367,5.209770607539446,5.795983200246166,5.653563078517177
12,0,7.139302780188671,7.3032201160849315,7.599525138618328,6.427173419678861,4.316876499617221,8.350811999259626,5.5390347652162335
13,1,7.567328250282159,2.7099303761568616,10.282751244142528,6.290248184899593,5.273345659003242,7.071390146897533,6.823044112907454
14,4,2.645968505936038,4.9711392720364005,7.363450086271895,7.415643247842731,7.6837544156184014,5.54765607678062,3.204531347001126
15,5,4.422827092753628,6.0919950225137995,2.273789867558534,5.464753509520501,5.065940690316863,7.304851098146179,4.660305161991936
16,2,3.6495046190727347,3.2145235024785226,3.6665368309391653,7.749603656096117,6.771938305794102,7.785191412551883,5.8842627872666355
17,2,6.496131785926747,4.304476099808705,6.304918871943183,8.0510129379329,3.106579500112816,5.660483199596145,5.530047243491246
18,1,4.376042060004535,8.882041028925459,4.103426843778236,7.009793879125309,7.70536344328106,5.213213126101874,6.640252332884422
19,5,6.016121119126397,6.315203147207171,5.520685467660455,3.9473864752150423,4.28108517881134,4.920060026351489,5.843147219291816
20,4,6.702427344799809,5.601227237693819,6.608969474535135,5.3575493559007175,2.0559763655943377,5.294846569517036,4.735054648298677
