T,FC,x1,x2
1,2,6.1696939173976295,5.478022050289742
2,2,5.38417701230267,3.2224814540642033
3,1,4.286305295967294,7.5809603378341786
4,0,3.2748525016964924,4.26191180601655
5,1,7.041153169317205,3.4658412113060875
6,3,3.152175956789561,7.006601537396644
7,2,7.45927290577103,6.642285411307618
8,3,5.513141189025681,5.923280780394072
9,1,3.8346775305178267,8.443431555131095
10,1,3.987609118922617,5.714010346730338
11,2,2.3485437043768274,6.385858460093769
12,2,8.293340271985386,3.1046547495842387
13,2,4.552918499464832,10.382437382645431
14,1,2.00864999328512,5.288911441775354
15,0,6.003326618060352,7.49732118013203
16,1,7.83718394945333,5.883595619569399
17,1,3.3441712927362355,3.0886752537825717
18,1,5.735874637660117,5.2565735775379085
19,0,8.412205186462415,5.337179274125317
20,1,7.4291477743043774,6.094296698775112
