T,FC,x1,x2,x3,x4,x5
1,10,2.3605109034422393,6.080961758246676,7.17313854422859,7.668889734223256,5.5544366987429346
2,4,3.485060459930267,2.660634734326482,4.40903827117241,7.096561484457852,5.440273738634669
3,7,2.3955531685218006,6.612825194994466,2.1756755712252027,4.399498395500055,3.6586157975005236
4,4,6.245081134749727,3.3474194267261876,6.999379500105308,4.286843404324542,7.589372387917666
5,9,7.269019845469536,4.1954803060024215,2.4031097762360325,5.642970411841177,2.796046270670243
6,5,4.14146448938006,5.263483694848589,3.43453654308892,4.854732457567813,5.319104985885877
7,2,5.109413771510496,5.544045928984588,5.147743574487059,2.306638976754611,6.917920917033551
8,0,3.135669210058018,3.716736536396368,6.139347934436747,8.332824308162275,3.695704830958645
9,3,4.4833035057083395,6.806129000285985,6.772242761092484,6.634158037168342,2.579657068291435
10,2,7.966938924288862,2.288885822861642,4.016400670628962,3.221943695942949,8.601730717502814
11,3,3.1554437447137214,3.091758553085978,8.90706030618314,6.0412622874271635,3.6489603703398075
12,5,8.836131993154893,4.136126643167726,7.3430821708517575,6.563555693278214,6.140774491471467
13,1,6.090931399453706,3.426445155215827,3.2847686630034456,2.9308379683842825,5.9281166725846735
14,3,7.152523184140508,7.360762726419774,9.611888605702166,5.788974576573308,8.273257635736847
15,1,3.5896575736137195,7.092820433677188,4.164897015995773,5.220845583728841,7.499556510677251
16,3,5.004848995391185,6.475626515286264,3.6469946699293083,7.736622512804839,2.0269939294222823
17,0,8.87113706730925,4.126753606966494,5.22415315253214,3.070053722455614,4.53854272295568
18,0,3.3694382171477315,6.305955993817696,3.7748639649273343,4.913148924572111,7.044476245104713
19,2,2.280449948911058,6.447882305005646,4.177161854345989,6.0085826721988855,7.843974626816984
20,1,5.176011556061593,5.511573584056559,5.0299767038590675,3.153459859099878,8.590718431229341
