T,FC,x1,x2,x3,x4
1,0,5.059184438795528,2.852006599875069,7.3041016166759105,6.369423753472901
2,2,7.461031398635854,3.1659435490173418,5.200739792328544,6.301000151961254
3,5,7.132435155193812,8.060360780315888,5.197898538749689,5.2984034675076
4,4,6.099924762067924,6.597813894143615,4.366018988728549,5.028678596267667
5,3,6.45880647839648,3.359001698754636,9.962520495247075,3.6639538212889025
6,6,3.2210593494636655,3.243283561872127,5.219101949881122,5.749691321858393
7,6,6.400668576380486,6.301004026180857,2.94659706396295,6.9511394000610816
8,2,6.1410970178028705,2.2578334055244027,3.014753727498548,7.493997866529547
9,7,4.9786389105026805,11.55196044371056,3.619621651628261,4.947479739263125
10,4,8.637305638976324,8.274169964434233,5.6160026486425645,6.5429885644296295
11,2,3.5203975288961225,5.4278752150853995,3.3725842380801447,7.0028406703716675
12,2,7.589800320923659,3.2009695984083892,8.34545379021826,8.502004594550138
13,1,5.5234171500728495,2.092998494763021,2.6774635581134762,7.852886483793805
14,3,7.666213610941088,8.016013396715072,6.025447505781606,4.170068582791556
15,2,7.733867689511433,3.4042105785794083,2.5861549989877153,5.638958493902395
16,4,4.472303280947094,7.09778932862271,4.3132125270945085,6.373888306410919
17,2,4.3901856055080355,4.520656876120424,5.714403548291265,6.358219572280466
18,2,5.034981605995866,5.752867257327119,2.4845251492264757,3.0762202140744006
19,2,9.099834205737395,10.229004853213763,8.338893031108444,5.075413644639534
20,0,4.515240625464196,6.752478738015505,2.107091510458914,9.182893903704972
