T,FC,x1,x2,x3,x4,x5
1,2,4.0678510770971945,5.971312135326496,9.358018480217524,5.327240202759141,5.018963120211833
2,1,7.376278036217106,8.818665765631724,5.695594887240491,5.073316647638428,2.358754555291116
3,1,3.322147544436904,6.838966724502199,4.113240227601246,6.260438953077199,6.392253264811266
4,0,4.680679386926825,5.816525653732413,4.288490179740009,7.061604801980969,2.1448575523508877
5,5,7.2120099983908545,5.108955899578225,8.097474376717061,7.415452674241828,4.4629126922166575
6,0,6.540440480394324,3.7725207379770085,7.164307964265042,3.7833943049700247,6.272907333943183
7,2,4.4941154859097425,5.170664673151821,2.0602937303161855,4.042678598302621,5.003866080341022
8,2,5.080281495379766,4.058112631691376,6.623381309317129,3.558892986991081,7.831274411497637
9,1,5.420037572748882,3.0126795496233307,7.514779474729174,9.026353590982922,7.144417571377389
10,2,3.0422683692107255,2.48555407344868,7.021581500300686,7.758731575999931,7.8515747325717955
11,0,4.036847650260546,2.501658735576156,7.720107071011208,6.1579357234236225,5.165618587257913
12,2,3.0066093420155187,2.0992624645938776,3.161046083612625,5.784599861375961,4.162195350002753
13,1,7.269314701117245,6.830008386539609,3.5999087851416722,4.2566551841803815,6.241144016552118
14,2,7.8947944980920015,9.019716027512455,7.955140287563453,6.880408394170711,4.0871848182309325
15,1,3.1255411523263112,7.185747923207516,7.18264571234549,3.3167348038936235,3.6185597580274904
16,0,9.080323322352019,2.6363355390473724,4.334263306368216,9.076076903286669,6.3094276000528415
17,1,2.113904899764088,6.83063598937678,3.201310166678314,7.85820389762723,8.043374306616034
18,2,5.1719212076809375,6.1902864894654455,8.103810117613795,7.030940637007053,8.584138099824258
19,1,5.10110679549962,6.260991959659309,6.219289133758053,5.465663067693566,2.266673354914242
20,2,6.602295588409914,7.275199931829246,7.1183743396563335,4.098487489272439,7.500847325093509
