T,FC,x1,x2
1,0,3.729557176174876,5.896531680943849
2,65,7.4112041372109445,2.9835217045132487
3,45,7.218393001700441,4.284150838067739
4,4,2.0112747399896587,7.790018988123384
5,4,3.9543910585463187,4.000845059833042
6,0,5.227035005415481,3.521355648452431
7,0,3.6955398192323248,5.1800634129826015
8,0,5.795698836789891,4.358296521080752
9,0,4.301707875422658,3.1442783197159083
10,0,5.272829337031361,4.154323738457655
11,0,5.734052991918351,5.754561816608593
12,0,3.0621705755304345,2.4142847102514224
13,0,6.709151106032731,5.612117057725152
14,0,4.187007808120506,8.862569336018444
15,0,8.507917828346415,4.598314470185917
16,0,7.674132662844916,2.582771702347963
17,0,3.9022688589805017,4.180928989240558
18,0,7.111215592496296,7.6929632687817655
19,0,6.408720040413635,5.422460810451212
20,0,6.046214935351202,7.403851673970334
