T,FC,x1,x2,x3,x4,x5,x6
1,3,3.186011506892762,7.762644806832301,6.133920035759013,5.3153575108123805,7.343303471968227,4.434978182197028
2,5,7.692819411547531,7.351422066764316,6.93881798047829,5.889624770524917,5.122208454838054,3.5508747711135795
3,1,5.066121665151499,4.089240974009999,4.618382924717799,7.872117709607198,2.2919825642020433,3.3073281889303012
4,4,3.1994827573829094,3.0421511247880098,2.5063636607641335,2.711516701813202,2.357462749893462,7.91503886841402
5,8,5.2170689700575075,2.5664732385289946,6.716911120185227,4.604375507531077,8.190228780644956,13.249302482334585
6,7,3.0084310371426204,7.5149060244681065,3.3077668552267676,7.2367908880239185,5.638129642086239,4.581167440987641
7,5,9.375296568325696,3.7811115489104763,6.38972944993414,2.161713725851483,6.539671900778921,3.534866892398533
8,4,3.656184534284098,4.754173811482175,2.4711420544600573,6.248790487711519,4.174244726590572,6.015347332619462
9,3,3.301586823170207,5.2323127112103816,5.84382413436631,2.0858630144900427,2.692724295139445,6.521807655362703
10,4,5.212531340374625,8.48832852401987,6.288752294319646,3.8472354572088436,4.511375589031634,5.093320117863492
11,11,5.508403848231228,5.331393978590038,6.80579877470162,6.269450985632664,7.299332146445528,10.047139478018455
12,5,10.9966221417874,6.100377249596089,4.106130671628927,4.847438390362793,6.044322328849192,4.11913326327443
13,1,9.156947976909539,5.520605926487817,7.098123562361523,3.2283428155506706,5.379405246464611,7.246154608719433
14,5,2.6382435386625436,4.465791162472503,7.153773164519175,6.760144669127117,8.183323918626204,4.119964676614649
15,1,2.8843289320641534,7.261733717251902,6.2700910289366485,5.572304134098278,7.583420350707145,6.289651767318745
16,1,3.256076027988953,3.4187671439398053,6.957153895932283,7.438049803913722,4.303309714634324,3.3260592970221956
17,1,3.815788954075211,3.1275491287215837,4.299628246928555,4.236290123031927,3.081236658056662,6.027404540060331
18,0,8.582988873319604,4.014772250315964,2.4274370174081152,4.126873800079628,2.706642620296945,6.21513916395301
19,1,4.406924883281468,5.394086893816957,5.105847247338339,4.1225349248103695,6.220443050002541,6.632931692902763
20,1,7.600497011603542,6.322432040546868,3.2364214056665985,8.844964717925142,3.0976798653728235,7.840011482264802
