T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,3,7.000146047969443,4.011401155145999,8.510733788306519,3.3959993643260122,8.224722666194959,9.0054396250448,5.394401460018309,8.249392861497785
2,6,7.048020588944171,3.8747431346838517,7.676249580445809,5.210766641198665,2.2573194473712994,7.890458271932704,4.6250641851029135,6.0266931011439855
3,8,7.4933839284868595,5.354827749651143,6.7187103378779645,3.157110429070504,10.414300392788173,4.524706422548576,3.2175042736093413,2.318507758162678
4,2,7.206331013922295,2.295608213548282,2.0334061255142073,7.203013899383584,9.209185353347753,3.3673449896573966,6.432654347574339,2.3665610490259255
5,10,7.727904485776909,3.269345335015391,8.436153316072415,7.005447965297363,8.213323586341248,5.300434323663272,8.660293901747218,4.472035917592373
6,8,2.817298479636204,9.150142469758828,4.618328607413605,6.118382673419786,3.158437153493613,4.607327287695384,5.212777294108852,5.434153748940164
7,7,8.046398963640792,8.111306526519593,3.1181691708949963,2.1155861916006713,8.761382461868218,5.133696935278611,8.303315504045065,5.8179738608476335
8,7,4.985095832193279,5.801837988958558,7.050832273449123,5.658037657740434,3.332020792408909,7.513701675464154,5.68380842368993,6.851634668727338
9,4,4.059676368462434,6.494957108878767,7.796955290772326,6.358108520112641,7.694607667130456,7.465748144441751,8.190361081493775,4.088505144272963
10,4,5.433446608508248,4.191232995615902,2.411978427605076,2.403729608953285,6.914808570983515,5.264021222360167,8.908631767391622,5.574249507958198
11,7,5.167879629748619,7.898799492585573,5.0175778328512255,3.333961059063109,10.192089318900221,4.629835561792453,6.122398836242336,6.0130586231157634
12,0,5.8447538942748,3.9063239073559264,3.136103459191783,5.437263924747622,10.040755020018238,7.478610171268823,3.012596551938801,5.507344131347756
13,0,7.021007783824784,2.321299239804165,7.501485516333282,4.551859664925074,6.275461578493026,4.806070129684056,3.0544426064999275,5.675756061298022
14,0,6.056415143635298,3.9040428954159063,4.408788117298869,4.160860786816798,5.084608865884844,6.203279791421406,4.6477997579147665,2.3529990744473084
15,5,4.621993204355739,5.478828782378979,2.2177682979741578,3.034730673640723,2.143670139020943,7.636503769107815,6.969069559515199,8.43012025013139
16,2,2.3574306384736325,4.590661321215873,2.7248111808809172,5.684200328878834,6.443302813343144,3.14818485195108,3.435060612725763,6.162246219643176
17,0,5.530565639626415,7.279802295078752,7.4421258310397125,4.055032654648963,6.327391616465611,6.086971094984738,4.254734737801819,7.157888778069812
18,0,6.265704959668368,4.287112505506567,6.928343101803269,5.2221153556873,8.266766626000255,2.2519206791432693,7.635447334114272,3.5635414649984023
19,0,2.7729437155526906,2.000150951040771,7.722737911339019,8.329987514520738,6.195549428751268,6.576744342473545,8.61687798920254,8.933140108708725
20,0,2.402970365279998,6.3354378960009194,4.361092489756502,7.536625266623879,7.637601663063706,3.0582112820159066,7.888231465568807,2.397249635686875
