T,FC,x1,x2,x3,x4,x5,x6
1,1,3.496998913359781,5.283462175045841,9.053699539695597,6.80672623369478,6.622578201840038,4.4100889702058055
2,100,11.107444919405413,6.572819660528935,7.099333370787711,3.064029888210262,3.126572555466033,3.716069083380745
3,23,6.052164935314925,4.547854189680333,7.20967283515642,8.135532530202047,6.541947736995063,4.354192457243928
4,2,2.2160878418253627,6.439941923765273,8.831304409115686,6.4305119469469565,5.2310853444587035,2.7712708714021432
5,0,4.367405459206886,3.2889733417488403,4.146918908503675,8.255110272697419,2.0984090770307318,5.453590437625338
6,0,7.578497863732442,2.216711805603509,7.48868838300726,5.440502339676162,5.403449645226032,4.001672529813395
7,0,4.172980998711406,4.439260550086401,3.236917926576985,7.381909775096878,6.475808162999164,6.597679578390155
8,0,5.449093924199782,6.893137865930508,6.121395624487756,9.130229548749192,2.025882213692392,7.005460677149988
9,0,3.3370762384764276,4.186110756027198,5.036909416807839,3.217957419064138,6.385879821047883,5.074886036265536
10,0,9.89977042900492,4.051255832040598,6.348384390777678,3.9298452327704108,3.7697919190275284,9.544782570896135
11,0,8.092365241788023,8.008284298759607,6.4580396613393365,2.1097455398933587,5.01159650796951,2.857577745607461
12,0,5.3337285340078555,3.3752145322432545,4.010839705131202,3.495543022971281,2.5460063426204966,6.84270018387521
13,0,5.379524645200051,2.050909915038189,6.0308739785349745,6.110741323975121,6.436639211428433,6.700704241315511
14,0,5.992752541180871,7.351751947016328,4.642377001073108,5.686327545793484,4.181180354590262,4.282107682417751
15,0,5.006802280325445,5.705881834681698,6.751870739616573,11.17234545624998,9.54808160332564,5.131149213760162
16,0,6.6954547774529996,7.1391429245360705,6.107678038873478,9.12551749309604,4.250664153089955,8.01915181973143
17,0,3.2943872126719005,3.27942117904424,3.1348764821090542,6.05960115593914,4.236664260192172,5.691995715662058
18,0,3.156194759674205,5.197974156727534,5.400048876504358,4.945356391121853,7.937933990228108,3.268797367818515
19,0,4.439939016208651,2.988358879823786,9.243824780166399,4.34606418792942,3.6396737035221434,4.263404994923682
20,0,7.268614363520372,6.000576557386642,7.485934342645598,6.592637255574112,7.259076874389805,2.5173791812365103
